sep=,
model,GED,CNE,Jaccard,W-GED,LCS,GED-T,CNE-T,Jaccard-T,W-GED-T,LCS-T
Process101,0.991304347826087,0.991304347826087,1.0,0.9990295454545455,0.76,0.991304347826087,0.991304347826087,1.0,0.9990295454545455,0.775
Process101,0.9911504424778761,0.9911504424778761,0.9636363636363636,0.991346511627907,0.73,0.9911504424778761,0.9911504424778761,0.9636363636363636,0.991346511627907,0.75
Process101,0.9655172413793104,0.9655172413793104,0.9456521739130435,0.9892911111111111,0.7550000000000001,0.9655172413793104,0.9655172413793104,0.9456521739130435,0.9892911111111111,0.735
Process101,0.9401709401709402,0.9401709401709402,0.9362771739130435,0.9864444444444445,0.73,0.9401709401709402,0.9401709401709402,0.9362771739130435,0.9864444444444445,0.7850000000000001
Process101,0.9911504424778761,0.9911504424778761,0.9928571428571429,0.9991681818181818,0.675,0.9911504424778761,0.9911504424778761,0.9928571428571429,0.9991681818181818,0.635
Process101,0.991304347826087,0.991304347826087,0.9966666666666667,0.9990295454545455,0.675,0.991304347826087,0.991304347826087,0.9966666666666667,0.9990295454545455,0.6849999999999998
Process101,0.9911504424778761,0.9911504424778761,0.9964285714285714,0.9990295454545455,0.6000000000000001,0.9911504424778761,0.9911504424778761,0.9964285714285714,0.9990295454545455,0.565
Process101,0.9911504424778761,0.9911504424778761,0.9928571428571429,0.9991681818181818,0.655,0.9911504424778761,0.9911504424778761,0.9928571428571429,0.9991681818181818,0.755
Process101,0.9636363636363636,0.9636363636363636,0.9457792207792208,0.9886511627906976,0.74,0.9636363636363636,0.9636363636363636,0.9457792207792208,0.9886511627906976,0.675
Process101,0.991304347826087,0.991304347826087,0.9652173913043478,0.9917311111111111,0.75,0.24827586206896557,0.2482758620689655,0.27692307692307694,0.7768271428571428,0.15
Process101,0.9911504424778761,0.9911504424778761,0.9928571428571429,0.9991681818181818,0.7350000000000001,0.24827586206896557,0.2482758620689655,0.27692307692307694,0.7768271428571428,0.16499999999999998
Process101,0.9217391304347826,0.9217391304347826,0.9266304347826088,0.9846822222222222,0.71,0.24827586206896557,0.2482758620689655,0.27692307692307694,0.7768271428571428,0.23
Process101,0.9655172413793104,0.9655172413793104,0.9456521739130435,0.9892911111111111,0.75,0.24827586206896557,0.2482758620689655,0.27692307692307694,0.7768271428571428,0.18
Process101,0.9655172413793104,0.9655172413793104,0.9456521739130435,0.9892911111111111,0.7550000000000001,0.24827586206896557,0.2482758620689655,0.27692307692307694,0.7768271428571428,0.195
Process101,0.991304347826087,0.991304347826087,0.9652173913043478,0.9917311111111111,0.7349999999999999,0.24827586206896557,0.2482758620689655,0.27692307692307694,0.7768271428571428,0.18999999999999997
Process101,0.9401709401709402,0.9401709401709402,0.9362771739130435,0.9864444444444445,0.7200000000000001,0.24827586206896557,0.2482758620689655,0.27692307692307694,0.7768271428571428,0.195
Process101,0.9911504424778761,0.9911504424778761,0.9928571428571429,0.9991681818181818,0.6900000000000001,0.24827586206896557,0.2482758620689655,0.27692307692307694,0.7768271428571428,0.16499999999999998
Process101,0.9401709401709402,0.9401709401709402,0.9362771739130435,0.9864444444444445,0.69,0.24827586206896557,0.2482758620689655,0.27692307692307694,0.7768271428571428,0.185
Process101,0.9911504424778761,0.9911504424778761,0.9964285714285714,0.9990295454545455,0.7450000000000001,0.24827586206896557,0.2482758620689655,0.27692307692307694,0.7768271428571428,0.16000000000000003
Process101,0.991304347826087,0.991304347826087,0.9652173913043478,0.9917311111111111,0.73,0.24827586206896557,0.2482758620689655,0.27692307692307694,0.7768271428571428,0.175
Process101,0.9401709401709402,0.9401709401709402,0.9362771739130435,0.9864444444444445,0.6849999999999999,0.24827586206896557,0.2482758620689655,0.27692307692307694,0.7768271428571428,0.12
Process101,0.2517482517482518,0.2517482517482518,0.2823529411764706,0.7795159420289856,0.235,0.24827586206896557,0.2482758620689655,0.27692307692307694,0.7768271428571428,0.18999999999999997
