model,GED,CNE,Jaccard,W-GED,LCS,GED-T,CNE-T,Jaccard-T,W-GED-T,LCS-T
Process101,0.301369863,0.301369863,0.332075472,0.809273333,0.18,0.301369863,0.301369863,0.332075472,0.809273333,0.22
Process101,0.295774648,0.295774648,0.316981132,0.803233784,0.185,0.295774648,0.295774648,0.316981132,0.803233784,0.18
Process101,0.299319728,0.299319728,0.325925926,0.806806579,0.2,0.299319728,0.299319728,0.325925926,0.806806579,0.18
Process101,0.301369863,0.301369863,0.325925926,0.807368421,0.22,0.301369863,0.301369863,0.325925926,0.807368421,0.165
Process101,0.299319728,0.299319728,0.325925926,0.806886842,0.22,0.299319728,0.299319728,0.325925926,0.806886842,0.175
Process101,0.301369863,0.301369863,0.325925926,0.807368421,0.195,0.301369863,0.301369863,0.325925926,0.807368421,0.23
Process101,0.301369863,0.301369863,0.325925926,0.807368421,0.195,0.301369863,0.301369863,0.325925926,0.807368421,0.205
Process101,0.301369863,0.301369863,0.325925926,0.807368421,0.195,0.301369863,0.301369863,0.325925926,0.807368421,0.175
Process101,0.297297297,0.297297297,0.325925926,0.806325,0.225,0.297297297,0.297297297,0.325925926,0.806325,0.195
Process101,0.295774648,0.295774648,0.316981132,0.803233784,0.14,0.295774648,0.295774648,0.316981132,0.803233784,0.205
Process101,0.297297297,0.297297297,0.325925926,0.806325,0.175,0.297297297,0.297297297,0.325925926,0.806325,0.18
Process101,0.305555556,0.305555556,0.338461538,0.812218919,0.195,0.305555556,0.305555556,0.338461538,0.812218919,0.2
Process101,0.301369863,0.301369863,0.325925926,0.807368421,0.19,0.301369863,0.301369863,0.325925926,0.807368421,0.2
Process101,0.301369863,0.301369863,0.325925926,0.807368421,0.2,0.301369863,0.301369863,0.325925926,0.807368421,0.18
Process101,0.301369863,0.301369863,0.325925926,0.807368421,0.195,0.301369863,0.301369863,0.325925926,0.807368421,0.21
Process101,0.297297297,0.297297297,0.325925926,0.806325,0.185,0.297297297,0.297297297,0.325925926,0.806325,0.23
Process101,0.307692308,0.307692308,0.338461538,0.812713514,0.19,0.307692308,0.307692308,0.338461538,0.812713514,0.2
