sep=,
model,addActSerial,addActParallel,deleteAct,replaceAct,addConst,removeConst,totalChanges,correspondence
/model89/original,0,0,2,0,3,0,5,0.9661016949152542
/model89/original,0,0,2,0,3,1,6,0.9527896995708155
/model89/original,0,0,2,0,3,2,7,0.9257641921397379
/model89/original,0,0,2,0,3,3,8,0.9527896995708155
/model89/original,0,0,2,1,0,0,3,0.9310344827586207
/model89/original,0,0,2,1,0,1,4,0.927038626609442
/model89/original,0,0,2,1,0,2,5,0.9217391304347826
/model89/original,0,0,2,1,0,3,6,0.8888888888888888
/model89/original,0,0,2,1,1,0,4,0.9043478260869565
/model89/original,0,0,2,1,1,1,5,0.9576271186440678
/model89/original,0,0,2,1,1,2,6,0.9090909090909091
/model89/original,0,0,2,1,1,3,7,0.9122807017543859
/model89/original,0,0,2,1,2,0,5,0.9090909090909091
/model89/original,0,0,2,1,2,1,6,0.935064935064935
/model89/original,0,0,2,1,2,2,7,0.9035087719298246
/model89/original,0,0,2,1,2,3,8,0.9051724137931034
/model89/original,0,0,2,1,3,0,6,0.9230769230769231
/model89/original,0,0,2,1,3,1,7,0.9145299145299145
/model89/original,0,0,2,1,3,2,8,0.905982905982906
/model89/original,0,0,2,1,3,3,9,0.9184549356223176
/model89/original,0,0,2,2,0,0,4,0.8888888888888888
/model89/original,0,0,2,2,0,1,5,0.9004329004329005
/model89/original,0,0,2,2,0,2,6,0.8695652173913043
/model89/original,0,0,2,2,0,3,7,0.9043478260869565
/model89/original,0,0,2,2,1,0,5,0.8646288209606987
/model89/original,0,0,2,2,1,1,6,0.8471615720524017
/model89/original,0,0,2,2,1,2,7,0.8956521739130435
/model89/original,0,0,2,2,1,3,8,0.9004329004329005
/model89/original,0,0,2,2,2,0,6,0.902127659574468
/model89/original,0,0,2,2,2,1,7,0.8658008658008658
/model89/original,0,0,2,2,2,2,8,0.9098712446351931
/model89/original,0,0,2,2,2,3,9,0.8722466960352423
/model89/original,0,0,2,2,3,0,7,0.8841201716738197
/model89/original,0,0,2,2,3,1,8,0.902127659574468
/model89/original,0,0,2,2,3,2,9,0.8793103448275862
/model89/original,0,0,2,2,3,3,10,0.8711111111111112
/model89/original,0,0,2,3,0,0,5,0.8412017167381974
/model89/original,0,0,2,3,0,1,6,0.8333333333333334
/model89/original,0,0,2,3,0,2,7,0.8620689655172413
/model89/original,0,0,2,3,0,3,8,0.853448275862069
