sep=,
model,mutations,GED, CNE, Jaccard, W-GED, LCS
Process101,3,0.9217391304347826,0.9217391304347826,0.8972463768115942,0.9467391304347826,7.080000000000004E-4
Process101,3,0.9230769230769231,0.9230769230769231,0.8712463768115943,0.9280851063829787,7.329999999999999E-4
Process101,3,0.9038461538461539,0.9038461538461539,0.8772727272727273,0.9404761904761905,7.149999999999998E-4
Process101,3,0.728813559322034,0.7288135593220338,0.8112116228070176,0.9154347826086957,6.219999999999999E-4
Process101,3,0.9541284403669725,0.9541284403669725,0.9094155844155845,0.9478571428571428,7.759999999999996E-4
Process101,3,0.9243697478991597,0.9243697478991597,0.9043931159420291,0.9452173913043478,7.080000000000002E-4
Process101,3,0.9739130434782609,0.9739130434782609,0.9000000000000001,0.9333333333333333,7.65E-4
Process101,3,0.9322033898305084,0.9322033898305084,0.9362771739130435,0.9662222222222222,7.839999999999998E-4
Process101,3,0.8596491228070176,0.8596491228070176,0.9246606334841629,0.9768181818181818,6.950000000000003E-4
Process101,3,0.9203539823008849,0.9203539823008849,0.8943478260869565,0.9443181818181818,6.620000000000002E-4
Process101,3,0.8596491228070176,0.8596491228070176,0.8647877237851662,0.9340909090909091,7.070000000000001E-4
Process101,3,0.9107142857142857,0.9107142857142857,0.9210276679841898,0.9618604651162791,6.100000000000002E-4
Process101,3,0.9043478260869565,0.9043478260869565,0.861413043478261,0.9217777777777778,6.739999999999999E-4
Process101,3,0.9739130434782609,0.9739130434782609,0.9548277809147374,0.9748888888888889,7.659999999999996E-4
Process101,3,0.9107142857142857,0.9107142857142857,0.9161363636363636,0.9634883720930233,6.919999999999999E-4
Process101,3,0.9827586206896551,0.9827586206896551,0.9333333333333333,0.9565217391304348,7.729999999999997E-4
Process101,3,0.7758620689655172,0.7758620689655172,0.8613153949341119,0.9422222222222222,6.16E-4
Process101,3,0.8672566371681416,0.8672566371681416,0.9039141414141414,0.9553488372093023,6.150000000000002E-4
Process101,3,0.875,0.875,0.8679347826086956,0.9372727272727273,6.23E-4
Process101,3,0.9122807017543859,0.9122807017543859,0.9235054347826087,0.9646666666666667,5.960000000000001E-4
Process101,3,0.8347826086956522,0.8347826086956521,0.885302861389818,0.952,6.389999999999998E-4
Process101,3,0.9401709401709402,0.9401709401709402,0.9072463768115943,0.9484782608695652,7.599999999999998E-4
Process101,3,0.9230769230769231,0.9230769230769231,0.9297554347826087,0.9662222222222222,7.210000000000001E-4
Process101,3,0.9739130434782609,0.9739130434782609,0.9261904761904762,0.9552173913043478,6.979999999999997E-4
Process101,3,0.9739130434782609,0.9739130434782609,0.9000000000000001,0.9333333333333333,7.22E-4
