model,mutations,GED, CNE, Jaccard, W-GED, LCS,,1,Pearson,R^2
Process101,3,0.817391304,0.817391304,0.887217391,0.973837778,0.59,,,,
Process101,3,0.936936937,0.936936937,0.906149068,0.978511364,0.59,,,,
Process101,3,0.706896552,0.706896552,0.837490817,0.963128889,0.67,,,,
Process101,3,0.861788618,0.861788618,0.845194332,0.964438298,0.725,,,,
Process101,3,0.923076923,0.923076923,0.871059783,0.969906667,0.7,,,,
Process101,3,0.904347826,0.904347826,0.920108696,0.98292,0.655,,,,
Process101,3,0.852173913,0.852173913,0.870833333,0.970693478,0.445,,,,
Process101,3,0.904347826,0.904347826,0.920108696,0.982106667,0.665,,,,
Process101,3,0.973913043,0.973913043,0.926190476,0.983026087,0.75,,,,
Process101,3,0.973913043,0.973913043,0.926190476,0.983026087,0.67,,,,
Process101,3,0.927272727,0.927272727,0.87136646,0.96935814,0.52,,,,
Process101,3,0.939130435,0.939130435,0.935559006,0.985766667,0.62,,,,
Process101,3,0.769230769,0.769230769,0.829431337,0.962604348,0.585,,,,
Process101,3,0.904347826,0.904347826,0.889641944,0.974906818,0.55,,,,
Process101,3,0.857142857,0.857142857,0.845447368,0.964308511,0.54,,,,
Process101,3,0.867256637,0.867256637,0.872346547,0.971302273,0.425,,,,
Process101,3,0.904347826,0.904347826,0.891847826,0.974075,0.635,,,,
Process101,3,0.892857143,0.892857143,0.853940217,0.965669767,0.63,,,,
Process101,3,0.871794872,0.871794872,0.878186275,0.97255,0.68,,,,
Process101,3,0.948275862,0.948275862,0.945899209,0.987122222,0.635,,,,
Process101,3,0.939130435,0.939130435,0.935652174,0.986444444,0.68,,,,
Process101,3,0.924369748,0.924369748,0.90200341,0.977721739,0.59,,,,
Process101,3,0.844827586,0.844827586,0.857993967,0.970295652,0.65,,,,
Process101,3,0.973913043,0.973913043,0.958074534,0.989968889,0.68,,,,
Process101,3,0.956521739,0.956521739,0.912878788,0.981434783,0.765,,,,
Process101,3,0.913793103,0.913793103,0.926630435,0.98292,0.555,,,,
Process101,3,0.973451327,0.973451327,0.982792208,0.997365909,0.745,,,,
Process101,3,0.875,0.875,0.892550725,0.980886667,0.635,,,,
Process101,3,0.884955752,0.884955752,0.851766304,0.966382222,0.55,,,,
Process101,3,0.695652174,0.695652174,0.835109864,0.96218,0.5,,,,
Process101,3,0.775862069,0.775862069,0.832017544,0.9634,0.635,,,,
Process101,3,0.869565217,0.869565217,0.870787724,0.971440909,0.53,,,,
Process101,3,0.920353982,0.920353982,0.89115942,0.976986364,0.65,,,,
Process101,3,0.902654867,0.902654867,0.854202899,0.968415556,0.71,,,,
Process101,3,0.752293578,0.752293578,0.817580532,0.960904545,0.465,,,,
Process101,3,0.924369748,0.924369748,0.936277174,0.983733333,0.745,,,,
Process101,3,0.948275862,0.948275862,0.945899209,0.987122222,0.505,,,,
Process101,3,0.923076923,0.923076923,0.871059783,0.969906667,0.685,,,,
Process101,3,0.973913043,0.973913043,0.951581028,0.990104444,0.61,,,,
Process101,3,0.972972973,0.972972973,0.985714286,0.997227273,0.69,,,,
Process101,3,0.923076923,0.923076923,0.896059783,0.976847727,0.645,,,,
Process101,3,0.886956522,0.886956522,0.910070332,0.981157778,0.65,,,,
Process101,3,0.948275862,0.948275862,0.907246377,0.98063913,0.72,,,,
Process101,4,0.844036697,0.844036697,0.861253197,0.9695,0.51,,,,
Process101,4,0.966101695,0.966101695,0.926515152,0.981302174,0.56,,,,
Process101,4,0.817391304,0.817391304,0.850520253,0.965202273,0.68,,,,
Process101,4,0.886956522,0.886956522,0.883120205,0.973104545,0.67,,,,
Process101,4,0.898305085,0.898305085,0.857125,0.968851064,0.745,,,,
Process101,4,0.920353982,0.920353982,0.866770186,0.970042222,0.58,,,,
Process101,4,0.831858407,0.831858407,0.83125,0.96096,0.435,,,,
Process101,4,0.747826087,0.747826087,0.856884058,0.96706,0.6,,,,
Process101,4,0.947368421,0.947368421,0.941556677,0.987257778,0.715,,,,
Process101,4,0.884955752,0.884955752,0.84625,0.966653333,0.72,,,,
Process101,4,0.94017094,0.94017094,0.862625,0.964858696,0.66,,,,
Process101,4,0.888888889,0.888888889,0.878833333,0.97453913,0.745,,,,
Process101,4,0.869565217,0.869565217,0.895025084,0.979802222,0.605,,,,
Process101,4,0.844036697,0.844036697,0.852309783,0.969915909,0.555,,,,
Process101,4,0.86440678,0.86440678,0.872833333,0.970295652,0.685,,,,
Process101,4,0.796460177,0.796460177,0.869670833,0.972482222,0.7,,,,
Process101,4,0.94017094,0.94017094,0.877101449,0.971804444,0.745,,,,
Process101,4,0.884955752,0.884955752,0.882201087,0.972272727,0.495,,,,
Process101,4,0.928571429,0.928571429,0.90283738,0.976847727,0.685,,,,
Process101,4,0.820512821,0.820512821,0.85,0.967643478,0.495,,,,
Process101,4,0.964912281,0.964912281,0.919047619,0.982230435,0.655,,,,
Process101,4,0.779661017,0.779661017,0.815355311,0.956651064,0.445,,,,
Process101,4,0.884955752,0.884955752,0.874184783,0.973381818,0.545,,,,
Process101,4,0.933333333,0.933333333,0.851923077,0.965941667,0.73,,,,
Process101,4,0.60952381,0.60952381,0.802717391,0.957164444,0.395,,,,
Process101,4,0.840336134,0.840336134,0.838315789,0.962621277,0.63,,,,
Process101,4,0.827586207,0.827586207,0.801777778,0.953852174,0.595,,,,
Process101,4,0.936936937,0.936936937,0.933181818,0.985813953,0.685,,,,
Process101,4,0.888888889,0.888888889,0.883333333,0.974406522,0.62,,,,
Process101,4,0.954954955,0.954954955,0.949350649,0.986665116,0.62,,,,
Process101,4,0.752136752,0.752136752,0.827380952,0.960615217,0.56,,,,
Process101,4,0.74137931,0.74137931,0.850217391,0.966517778,0.525,,,,
Process101,4,0.823529412,0.823529412,0.856410256,0.967378261,0.66,,,,
Process101,4,0.789473684,0.789473684,0.901461988,0.977679545,0.475,,,,
Process101,4,0.823529412,0.823529412,0.852777778,0.967643478,0.55,,,,
Process101,4,0.871794872,0.871794872,0.937294118,0.985720455,0.61,,,,
Process101,4,0.814159292,0.814159292,0.817777778,0.959468889,0.525,,,,
Process101,4,0.8,0.8,0.809747126,0.959117021,0.5,,,,
Process101,4,0.830508475,0.830508475,0.857726046,0.968306522,0.69,,,,
Process101,4,0.849557522,0.849557522,0.801960784,0.954665909,0.565,,,,
Process101,4,0.822429907,0.822429907,0.81263587,0.961502222,0.625,,,,
Process101,4,0.821428571,0.821428571,0.873279221,0.974606977,0.665,,,,
Process101,4,0.854700855,0.854700855,0.844277778,0.964308511,0.55,,,,
Process101,4,0.965517241,0.965517241,0.900428571,0.975340426,0.53,,,,
Process101,4,0.834782609,0.834782609,0.855095416,0.967975,0.685,,,,
Process101,4,0.913793103,0.913793103,0.891349638,0.977058696,0.685,,,,
Process101,4,0.964912281,0.964912281,0.923291925,0.981284091,0.695,,,,
Process101,4,0.86440678,0.86440678,0.839576923,0.965606383,0.665,,,,
