sep=,
model,addActSerial,addActParallel,deleteAct,replaceAct,addConst,removeConst,GED
Process101,0,0,0,2,3,3,0.48599999999999977
Process101,0,0,0,3,0,0,0.48399999999999993
Process101,0,0,0,3,0,1,0.44999999999999984
Process101,0,0,0,3,0,2,0.47799999999999976
Process101,0,0,0,3,0,3,0.47599999999999976
Process101,0,0,0,3,1,0,0.46933333333333316
Process101,0,0,0,3,1,1,0.4666666666666664
Process101,0,0,0,3,1,2,0.488
Process101,0,0,0,3,1,3,0.44066666666666643
Process101,0,0,0,3,2,0,0.48933333333333323
Process101,0,0,0,3,2,1,0.47066666666666646
Process101,0,0,0,3,2,2,0.47133333333333316
Process101,0,0,0,3,2,3,0.47133333333333305
Process101,0,0,0,3,3,0,0.45999999999999974
Process101,0,0,0,3,3,1,0.48000000000000004
Process101,0,0,0,3,3,2,0.4859999999999999
Process101,0,0,0,3,3,3,0.4793333333333334
Process101,0,0,1,0,0,0,0.4986666666666667
Process101,0,0,1,0,0,1,0.5180000000000002
Process101,0,0,1,0,0,2,0.5053333333333334
Process101,0,0,1,0,0,3,0.5093333333333334
Process101,0,0,1,0,1,0,0.4960000000000001
Process101,0,0,1,0,1,1,0.5173333333333335
Process101,0,0,1,0,1,2,0.5233333333333337
Process101,0,0,1,0,1,3,0.5026666666666666
Process101,0,0,1,0,2,0,0.4673333333333332
Process101,0,0,1,0,2,1,0.40133333333333315
Process101,0,0,1,0,2,2,0.4806666666666665
Process101,0,0,1,0,2,3,0.4253333333333332
Process101,0,0,1,0,3,0,0.5080000000000001
Process101,0,0,1,0,3,1,0.5180000000000002
Process101,0,0,1,0,3,2,0.4813333333333331
Process101,0,0,1,0,3,3,0.4933333333333332
Process101,0,0,1,1,0,0,0.48933333333333306
Process101,0,0,1,1,0,1,0.504
Process101,0,0,1,1,0,2,0.46466666666666645
Process101,0,0,1,1,0,3,0.508
Process101,0,0,1,1,1,0,0.5193333333333334
Process101,0,0,1,1,1,1,0.4079999999999998
Process101,0,0,1,1,1,2,0.47666666666666646
Process101,0,0,1,1,1,3,0.45733333333333304
Process101,0,0,1,1,2,0,0.4993333333333333
Process101,0,0,1,1,2,1,0.5066666666666666
Process101,0,0,1,1,2,2,0.5
Process101,0,0,1,1,2,3,0.49599999999999983
Process101,0,0,1,1,3,0,0.44999999999999973
Process101,0,0,1,1,3,1,0.508
Process101,0,0,1,1,3,2,0.47133333333333316
Process101,0,0,1,1,3,3,0.48733333333333306
Process101,0,0,1,2,0,0,0.52
Process101,0,0,1,2,0,1,0.48466666666666647
Process101,0,0,1,2,0,2,0.4946666666666665
Process101,0,0,1,2,0,3,0.46066666666666634
Process101,0,0,1,2,1,0,0.47933333333333317
Process101,0,0,1,2,1,1,0.47866666666666635
Process101,0,0,1,2,1,2,0.4753333333333331
Process101,0,0,1,2,1,3,0.3926666666666666
Process101,0,0,1,2,2,0,0.48133333333333306
Process101,0,0,1,2,2,1,0.4873333333333332
Process101,0,0,1,2,2,2,0.486
Process101,0,0,1,2,2,3,0.44066666666666643
Process101,0,0,1,2,3,0,0.44999999999999973
Process101,0,0,1,2,3,1,0.492
Process101,0,0,1,2,3,2,0.47199999999999975
Process101,0,0,1,2,3,3,0.4953333333333333
Process101,0,0,1,3,0,0,0.46933333333333316
Process101,0,0,1,3,0,1,0.45733333333333304
Process101,0,0,1,3,0,2,0.4579999999999997
Process101,0,0,1,3,0,3,0.45799999999999963
Process101,0,0,1,3,1,0,0.46399999999999986
Process101,0,0,1,3,1,1,0.47066666666666646
Process101,0,0,1,3,1,2,0.4813333333333333
Process101,0,0,1,3,1,3,0.43466666666666653
Process101,0,0,1,3,2,0,0.47999999999999987
Process101,0,0,1,3,2,1,0.4966666666666667
Process101,0,0,1,3,2,2,0.4873333333333331
Process101,0,0,1,3,2,3,0.494
Process101,0,0,1,3,3,0,0.4673333333333331
Process101,0,0,1,3,3,1,0.4653333333333332
Process101,0,0,1,3,3,2,0.45266666666666655
Process101,0,0,1,3,3,3,0.46066666666666645
Process101,0,0,2,0,0,0,0.5353333333333337
Process101,0,0,2,0,0,1,0.4606666666666665
Process101,0,0,2,0,0,2,0.49666666666666665
Process101,0,0,2,0,0,3,0.5133333333333334
Process101,0,0,2,0,1,0,0.4999999999999999
Process101,0,0,2,0,1,1,0.45399999999999974
Process101,0,0,2,0,1,2,0.5146666666666668
Process101,0,0,2,0,1,3,0.4966666666666665
Process101,0,0,2,0,2,0,0.48599999999999977
Process101,0,0,2,0,2,1,0.5073333333333334
Process101,0,0,2,0,2,2,0.5166666666666668
Process101,0,0,2,0,2,3,0.4946666666666668
Process101,0,0,2,0,3,0,0.5260000000000002
Process101,0,0,2,0,3,1,0.5313333333333337
Process101,0,0,2,0,3,2,0.4813333333333332
Process101,0,0,2,0,3,3,0.47999999999999976
Process101,0,0,2,1,0,0,0.46333333333333326
Process101,0,0,2,1,0,1,0.5200000000000001
Process101,0,0,2,1,0,2,0.4213333333333331
Process101,0,0,2,1,0,3,0.4926666666666665
Process101,0,0,2,1,1,0,0.45199999999999974
Process101,0,0,2,1,1,1,0.48266666666666647
Process101,0,0,2,1,1,2,0.39666666666666656
Process101,0,0,2,1,1,3,0.4446666666666663
Process101,0,0,2,1,2,0,0.4386666666666664
Process101,0,0,2,1,2,1,0.4839999999999999
Process101,0,0,2,1,2,2,0.512
Process101,0,0,2,1,2,3,0.455333333333333
Process101,0,0,2,1,3,0,0.4973333333333332
Process101,0,0,2,1,3,1,0.48066666666666635
Process101,0,0,2,1,3,2,0.4773333333333333
Process101,0,0,2,1,3,3,0.47866666666666635
Process101,0,0,2,2,0,0,0.498
Process101,0,0,2,2,0,1,0.45666666666666644
Process101,0,0,2,2,0,2,0.48733333333333334
Process101,0,0,2,2,0,3,0.44133333333333324
Process101,0,0,2,2,1,0,0.4199999999999998
Process101,0,0,2,2,1,1,0.4319999999999998
Process101,0,0,2,2,1,2,0.44999999999999973
Process101,0,0,2,2,1,3,0.44533333333333325
Process101,0,0,2,2,2,0,0.46733333333333305
Process101,0,0,2,2,2,1,0.44399999999999973
Process101,0,0,2,2,2,2,0.49866666666666665
Process101,0,0,2,2,2,3,0.48133333333333317
Process101,0,0,2,2,3,0,0.46199999999999974
Process101,0,0,2,2,3,1,0.4466666666666663
Process101,0,0,2,2,3,2,0.47799999999999987
Process101,0,0,2,2,3,3,0.44066666666666643
Process101,0,0,2,3,0,0,0.3620000000000001
Process101,0,0,2,3,0,1,0.4526666666666664
Process101,0,0,2,3,0,2,0.4526666666666665
Process101,0,0,2,3,0,3,0.3846666666666666
Process101,0,0,2,3,1,0,0.45266666666666633
Process101,0,0,2,3,1,1,0.44866666666666644
Process101,0,0,2,3,1,2,0.4406666666666664
Process101,0,0,2,3,1,3,0.47199999999999964
Process101,0,0,2,3,2,0,0.43533333333333313
Process101,0,0,2,3,2,1,0.3893333333333332
Process101,0,0,2,3,2,2,0.4746666666666665
Process101,0,0,2,3,2,3,0.4326666666666664
Process101,0,0,2,3,3,0,0.44466666666666643
Process101,0,0,2,3,3,1,0.4546666666666664
Process101,0,0,2,3,3,2,0.47799999999999987
Process101,0,0,2,3,3,3,0.4659999999999998
Process101,0,0,3,0,0,0,0.5113333333333333
Process101,0,0,3,0,0,1,0.5280000000000004
Process101,0,0,3,0,0,2,0.514
Process101,0,0,3,0,0,3,0.4733333333333331
Process101,0,0,3,0,1,0,0.46066666666666645
Process101,0,0,3,0,1,1,0.4793333333333331
Process101,0,0,3,0,1,2,0.47399999999999975
Process101,0,0,3,0,1,3,0.49133333333333334
Process101,0,0,3,0,2,0,0.5026666666666667
Process101,0,0,3,0,2,1,0.45533333333333337
Process101,0,0,3,0,2,2,0.5280000000000002
Process101,0,0,3,0,2,3,0.44399999999999973
Process101,0,0,3,0,3,0,0.40066666666666656
Process101,0,0,3,0,3,1,0.5166666666666668
Process101,0,0,3,0,3,2,0.5153333333333334
Process101,0,0,3,0,3,3,0.4486666666666663
Process101,0,0,3,1,0,0,0.43466666666666653
Process101,0,0,3,1,0,1,0.504
Process101,0,0,3,1,0,2,0.45066666666666644
Process101,0,0,3,1,0,3,0.4679999999999998
Process101,0,0,3,1,1,0,0.49599999999999994
Process101,0,0,3,1,1,1,0.4266666666666666
Process101,0,0,3,1,1,2,0.48799999999999993
Process101,0,0,3,1,1,3,0.4706666666666664
