model,addActSerial,addActParallel,deleteAct,replaceAct,addConst,removeConst,swapActivities,,GED,CNE,Jaccard,W-GED,LCS
Process25,0,0,0,1,2,0,1,4,0.777777778,0.777777778,0.797762238,0.869955157,0.6025
Process25,0,0,0,1,2,0,2,5,0.684684685,0.684684685,0.756115152,0.817351598,0.47
Process25,0,0,0,1,2,0,3,6,0.380952381,0.380952381,0.653352034,0.651741294,0.3925
Process25,0,0,0,1,2,1,0,4,0.71559633,0.71559633,0.770132468,0.836363636,0.57
Process25,0,0,0,1,2,1,1,5,0.581818182,0.581818182,0.715799614,0.76056338,0.595
Process25,0,0,0,1,2,1,2,6,0.423076923,0.423076923,0.66262037,0.679802956,0.5275
Process25,0,0,0,1,2,1,3,7,0.495049505,0.495049505,0.682487179,0.72815534,0.4675
Process25,0,0,0,1,2,2,0,5,0.697247706,0.697247706,0.762054545,0.826484018,0.5575
Process25,0,0,0,1,2,2,1,6,0.66,0.66,0.7405,0.817757009,0.5325
Process25,0,0,0,1,2,2,2,7,0.490566038,0.490566038,0.683737179,0.714975845,0.4925
Process25,0,0,0,1,2,2,3,8,0.274509804,0.274509804,0.624606171,0.594871795,0.43
Process25,0,0,0,1,2,3,0,6,0.740740741,0.740740741,0.784818182,0.850678733,0.7075
Process25,0,0,0,1,2,3,1,7,0.555555556,0.555555556,0.704965391,0.748815166,0.6775
Process25,0,0,0,1,2,3,2,8,0.415841584,0.415841584,0.661958333,0.683168317,0.4075
Process25,0,0,0,1,2,3,3,9,0.34,0.34,0.640407407,0.641414141,0.3775
Process25,0,0,0,1,3,0,0,4,0.900900901,0.900900901,0.866963925,0.930735931,0.6975
Process25,0,0,0,1,3,0,1,5,0.625,0.625,0.732166667,0.782407407,0.5575
Process25,0,0,0,1,3,0,2,6,0.522522523,0.522522523,0.695278567,0.723809524,0.4725
Process25,0,0,0,1,3,0,3,7,0.301886792,0.301886792,0.63437931,0.598984772,0.41
Process25,0,0,0,1,3,1,0,5,0.872727273,0.872727273,0.850879227,0.917030568,0.5725
Process25,0,0,0,1,3,1,1,6,0.660377358,0.660377358,0.743151515,0.810185185,0.5575
Process25,0,0,0,1,3,1,2,7,0.355140187,0.355140187,0.645026565,0.63,0.39
Process25,0,0,0,1,3,1,3,8,0.403846154,0.403846154,0.659862536,0.668316832,0.45
Process25,0,0,0,1,3,2,0,6,0.844036697,0.844036697,0.833047619,0.9030837,0.7025
Process25,0,0,0,1,3,2,1,7,0.514851485,0.514851485,0.695535354,0.739130435,0.515
Process25,0,0,0,1,3,2,2,8,0.728971963,0.728971963,0.773315076,0.845454545,0.51
Process25,0,0,0,1,3,2,3,9,0.495049505,0.495049505,0.686119565,0.72815534,0.545
Process25,0,0,0,1,3,3,0,7,0.703703704,0.703703704,0.762767316,0.831050228,0.675
Process25,0,0,0,1,3,3,1,8,0.571428571,0.571428571,0.708595238,0.763033175,0.63
Process25,0,0,0,1,3,3,2,9,0.514285714,0.514285714,0.692940087,0.730769231,0.4925
Process25,0,0,0,1,3,3,3,10,0.365591398,0.365591398,0.643316017,0.676767677,0.345
Process25,0,0,0,2,0,0,0,2,0.890909091,0.890909091,0.811399711,0.908333333,0.6475
Process25,0,0,0,2,0,0,1,3,0.509090909,0.509090909,0.635834338,0.707762557,0.62
Process25,0,0,0,2,0,0,2,4,0.727272727,0.727272727,0.724012046,0.826839827,0.6
Process25,0,0,0,2,0,0,3,5,0.277777778,0.277777778,0.572533852,0.572815534,0.41
Process25,0,0,0,2,0,1,0,3,0.71559633,0.71559633,0.716662902,0.82173913,0.555
Process25,0,0,0,2,0,1,1,4,0.523364486,0.523364486,0.641158009,0.721461187,0.5825
Process25,0,0,0,2,0,1,2,5,0.532110092,0.532110092,0.644702473,0.722727273,0.61
Process25,0,0,0,2,0,1,3,6,0.316831683,0.316831683,0.581737374,0.618357488,0.465
Process25,0,0,0,2,0,2,0,4,0.722222222,0.722222222,0.722032468,0.826086957,0.4975
Process25,0,0,0,2,0,2,1,5,0.648148148,0.648148148,0.686247619,0.787610619,0.645
Process25,0,0,0,2,0,2,2,6,0.351851852,0.351851852,0.59200638,0.619047619,0.445
Process25,0,0,0,2,0,2,3,7,0.41509434,0.41509434,0.609573975,0.661971831,0.4075
Process25,0,0,0,2,0,3,0,5,0.654205607,0.654205607,0.692751323,0.792035398,0.6175
Process25,0,0,0,2,0,3,1,6,0.336448598,0.336448598,0.586515152,0.612440191,0.4875
Process25,0,0,0,2,0,3,2,7,0.457142857,0.457142857,0.617348485,0.688372093,0.58
Process25,0,0,0,2,0,3,3,8,0.323809524,0.323809524,0.583262278,0.610576923,0.38
Process25,0,0,0,2,1,0,0,3,0.738738739,0.738738739,0.73198002,0.831896552,0.5475
Process25,0,0,0,2,1,0,1,4,0.558558559,0.558558559,0.654749608,0.734234234,0.4525
Process25,0,0,0,2,1,0,2,5,0.438095238,0.438095238,0.615402331,0.677570093,0.44
Process25,0,0,0,2,1,0,3,6,0.236363636,0.236363636,0.56248257,0.539215686,0.4325
Process25,0,0,0,2,1,1,0,4,0.733944954,0.733944954,0.726168831,0.831168831,0.5425
Process25,0,0,0,2,1,1,1,5,0.636363636,0.636363636,0.682967033,0.778761062,0.435
Process25,0,0,0,2,1,1,2,6,0.481481481,0.481481481,0.626515152,0.695852535,0.3925
Process25,0,0,0,2,1,1,3,7,0.412371134,0.412371134,0.604253247,0.682464455,0.465
Process25,0,0,0,2,1,2,0,5,0.788990826,0.788990826,0.753182151,0.858974359,0.5075
Process25,0,0,0,2,1,2,1,6,0.660550459,0.660550459,0.695284281,0.792951542,0.5675
Process25,0,0,0,2,1,2,2,7,0.242424242,0.242424242,0.561630094,0.581280788,0.355
Process25,0,0,0,2,1,2,3,8,0.352941176,0.352941176,0.589925516,0.636363636,0.4625
Process25,0,0,0,2,1,3,0,6,0.574074074,0.574074074,0.660601852,0.747747748,0.51
Process25,0,0,0,2,1,3,1,7,0.528301887,0.528301887,0.647131667,0.726027397,0.4275
Process25,0,0,0,2,1,3,2,8,0.339622642,0.339622642,0.586240642,0.61722488,0.435
Process25,0,0,0,2,1,3,3,9,0.622641509,0.622641509,0.675174825,0.776785714,0.6325
Process25,0,0,0,2,2,0,0,4,0.821428571,0.821428571,0.770853147,0.873417722,0.545
Process25,0,0,0,2,2,0,1,5,0.571428571,0.571428571,0.659478114,0.739910314,0.49
Process25,0,0,0,2,2,0,2,6,0.431372549,0.431372549,0.613681818,0.680751174,0.425
Process25,0,0,0,2,2,0,3,7,0.440366972,0.440366972,0.617830941,0.669767442,0.485
Process25,0,0,0,2,2,1,0,5,0.684684685,0.684684685,0.70058951,0.80349345,0.625
Process25,0,0,0,2,2,1,1,6,0.611111111,0.611111111,0.672668998,0.767857143,0.5
Process25,0,0,0,2,2,1,2,7,0.381818182,0.381818182,0.599515152,0.632075472,0.4975
Process25,0,0,0,2,2,1,3,8,0.419047619,0.419047619,0.609251631,0.666666667,0.5725
Process25,0,0,0,2,2,2,0,6,0.642201835,0.642201835,0.685733333,0.783185841,0.6025
Process25,0,0,0,2,2,2,1,7,0.509090909,0.509090909,0.63537962,0.707762557,0.44
Process25,0,0,0,2,2,2,2,8,0.373831776,0.373831776,0.596664274,0.63507109,0.355
Process25,0,0,0,2,2,2,3,9,0.293577982,0.293577982,0.576,0.579710145,0.3975
Process25,0,0,0,2,2,3,0,7,0.733944954,0.733944954,0.723181818,0.831168831,0.655
Process25,0,0,0,2,2,3,1,8,0.388888889,0.388888889,0.602538611,0.641509434,0.4675
Process25,0,0,0,2,2,3,2,9,0.566037736,0.566037736,0.657636946,0.746606335,0.545
