model,addActSerial,addActParallel,deleteAct,replaceAct,addConst,removeConst,GED,,
Process101,0,0,0,3,2,1,3,9,0.534
Process101,0,0,0,3,2,2,0,7,0.487
Process101,0,0,0,3,2,2,1,8,0.463
Process101,0,0,0,3,2,2,2,9,0.421
Process101,0,0,0,3,2,2,3,10,0.286
Process101,0,0,0,3,2,3,0,8,0.544
Process101,0,0,0,3,2,3,1,9,0.454
Process101,0,0,0,3,2,3,2,10,0.541
Process101,0,0,0,3,2,3,3,11,0.444
Process101,0,0,0,3,3,0,0,6,0.447
Process101,0,0,0,3,3,0,1,7,0.592
Process101,0,0,0,3,3,0,2,8,0.471
Process101,0,0,0,3,3,0,3,9,0.577
Process101,0,0,0,3,3,1,0,7,0.649
Process101,0,0,0,3,3,1,1,8,0.661
Process101,0,0,0,3,3,1,2,9,0.557
Process101,0,0,0,3,3,1,3,10,0.259
Process101,0,0,0,3,3,2,0,8,0.498
Process101,0,0,0,3,3,2,1,9,0.3
Process101,0,0,0,3,3,2,2,10,0.458
Process101,0,0,0,3,3,2,3,11,0.422
Process101,0,0,0,3,3,3,0,9,0.406
Process101,0,0,0,3,3,3,1,10,0.453
Process101,0,0,0,3,3,3,2,11,0.406
Process101,0,0,0,3,3,3,3,12,0.402
Process101,0,0,1,0,0,0,0,1,0.641
Process101,0,0,1,0,0,0,1,2,0.624
Process101,0,0,1,0,0,0,2,3,0.426
Process101,0,0,1,0,0,0,3,4,0.597
Process101,0,0,1,0,0,1,0,2,0.687
Process101,0,0,1,0,0,1,1,3,0.593
Process101,0,0,1,0,0,1,2,4,0.464
Process101,0,0,1,0,0,1,3,5,0.48
Process101,0,0,1,0,0,2,0,3,0.457
Process101,0,0,1,0,0,2,1,4,0.478
Process101,0,0,1,0,0,2,2,5,0.511
Process101,0,0,1,0,0,2,3,6,0.643
Process101,0,0,1,0,0,3,0,4,0.589
Process101,0,0,1,0,0,3,1,5,0.621
Process101,0,0,1,0,0,3,2,6,0.563
Process101,0,0,1,0,0,3,3,7,0.53
Process101,0,0,1,0,1,0,0,2,0.661
Process101,0,0,1,0,1,0,1,3,0.655
Process101,0,0,1,0,1,0,2,4,0.5
Process101,0,0,1,0,1,0,3,5,0.605
Process101,0,0,1,0,1,1,0,3,0.523
Process101,0,0,1,0,1,1,1,4,0.597
Process101,0,0,1,0,1,1,2,5,0.491
Process101,0,0,1,0,1,1,3,6,0.451
Process101,0,0,1,0,1,2,0,4,0.57
Process101,0,0,1,0,1,2,1,5,0.534
Process101,0,0,1,0,1,2,2,6,0.392
Process101,0,0,1,0,1,2,3,7,0.441
Process101,0,0,1,0,1,3,0,5,0.684
Process101,0,0,1,0,1,3,1,6,0.511
Process101,0,0,1,0,1,3,2,7,0.433
Process101,0,0,1,0,1,3,3,8,0.452
Process101,0,0,1,0,2,0,0,3,0.576
Process101,0,0,1,0,2,0,1,4,0.465
Process101,0,0,1,0,2,0,2,5,0.571
Process101,0,0,1,0,2,0,3,6,0.53
Process101,0,0,1,0,2,1,0,4,0.674
Process101,0,0,1,0,2,1,1,5,0.656
Process101,0,0,1,0,2,1,2,6,0.573
