sep=,
model,addActSerial,addActParallel,deleteAct,replaceAct,addConst,removeConst,swapAct,GED, CNE, Jaccard
Process101,0,0,0,0,1,1,2,0.7976190476190481,0.8070175438596491,0.9055555555555556
Process101,0,0,0,0,1,1,3,0.7380952380952386,0.6666666666666666,0.8584090909090909
Process101,0,0,0,0,1,2,0,0.7976190476190484,0.9821428571428571,0.9857142857142858
Process101,0,0,0,0,1,2,1,0.833333333333334,0.954954954954955,0.9757142857142858
Process101,0,0,0,0,1,2,2,0.8015873015873021,0.6902654867256637,0.8658870967741936
Process101,0,0,0,0,1,2,3,0.8531746031746036,0.672566371681416,0.8584090909090909
Process101,0,0,0,0,1,3,0,0.9841269841269844,0.972972972972973,0.9857142857142858
Process101,0,0,0,0,1,3,1,0.8293650793650796,0.9009009009009009,0.9521390374331551
Process101,0,0,0,0,1,3,2,0.7579365079365086,0.8214285714285714,0.9071895424836602
Process101,0,0,0,0,1,3,3,0.690476190476191,0.6666666666666666,0.8550000000000001
Process101,0,0,0,0,2,0,0,0.9285714285714289,0.9827586206896551,1.0
Process101,0,0,0,0,2,0,1,0.8928571428571433,0.9043478260869565,0.9562659846547314
Process101,0,0,0,0,2,0,2,0.9166666666666671,0.8347826086956521,0.915686274509804
Process101,0,0,0,0,2,0,3,0.8412698412698418,0.7079646017699115,0.877922077922078
Process101,0,0,0,0,2,1,0,0.9801587301587305,0.9739130434782609,0.9933333333333334
Process101,0,0,0,0,2,1,1,0.9285714285714289,0.8347826086956521,0.9230769230769231
Process101,0,0,0,0,2,1,2,0.8690476190476196,0.7894736842105263,0.9
Process101,0,0,0,0,2,1,3,0.7857142857142863,0.6491228070175439,0.8582386363636364
Process101,0,0,0,0,2,2,0,0.9246031746031751,0.9649122807017544,0.9892857142857143
Process101,0,0,0,0,2,2,1,0.8452380952380956,0.8947368421052632,0.9461636828644502
Process101,0,0,0,0,2,2,2,0.8492063492063499,0.8672566371681416,0.93325
Process101,0,0,0,0,2,2,3,0.7976190476190481,0.6140350877192983,0.8471988795518208
Process101,0,0,0,0,2,3,0,0.9206349206349211,0.9642857142857143,0.9790476190476192
Process101,0,0,0,0,2,3,1,0.8452380952380956,0.8672566371681416,0.9303750000000001
Process101,0,0,0,0,2,3,2,0.7817460317460321,0.6902654867256637,0.8621875
Process101,0,0,0,0,2,3,3,0.702380952380953,0.6846846846846847,0.863421052631579
Process101,0,0,0,0,3,0,0,0.9642857142857146,0.9743589743589743,0.9966666666666667
Process101,0,0,0,0,3,0,1,0.8968253968253973,0.8793103448275862,0.9356410256410257
Process101,0,0,0,0,3,0,2,0.8650793650793656,0.8448275862068966,0.9243927125506073
Process101,0,0,0,0,3,0,3,0.702380952380953,0.7478260869565218,0.8817487266553481
Process101,0,0,0,0,3,1,0,0.9722222222222227,0.9655172413793104,0.983030303030303
Process101,0,0,0,0,3,1,1,0.8611111111111116,0.8448275862068966,0.9246606334841629
Process101,0,0,0,0,3,1,2,0.7738095238095245,0.8275862068965517,0.9223157894736842
Process101,0,0,0,0,3,1,3,0.817460317460318,0.7413793103448276,0.8872413793103449
Process101,0,0,0,0,3,2,0,0.9682539682539686,0.9649122807017544,0.9892857142857143
Process101,0,0,0,0,3,2,1,0.9880952380952382,0.8695652173913043,0.940625
Process101,0,0,0,0,3,2,2,0.7341269841269847,0.5964912280701754,0.843989769820972
Process101,0,0,0,0,3,2,3,0.793650793650794,0.631578947368421,0.8505434782608696
Process101,0,0,0,0,3,3,0,0.8968253968253973,0.9557522123893806,0.975974025974026
Process101,0,0,0,0,3,3,1,0.6825396825396832,0.8928571428571429,0.9396419437340153
Process101,0,0,0,0,3,3,2,0.6944444444444452,0.6785714285714286,0.860608552631579
Process101,0,0,0,0,3,3,3,0.8015873015873021,0.6842105263157895,0.8675115207373272
Process101,0,0,0,1,0,0,0,0.9087301587301592,0.9217391304347826,0.9266304347826088
Process101,0,0,0,1,0,0,1,0.8809523809523816,0.831858407079646,0.8829951690821256
Process101,0,0,0,1,0,0,2,0.7619047619047625,0.782608695652174,0.8639016018306637
Process101,0,0,0,1,0,0,3,0.7460317460317467,0.6782608695652174,0.8287590579710145
