model;addActSerial;addActParallel;deleteAct;replaceAct;addConst;removeConst;swapAct;GED; CNE; Jaccard
Process101;0;0;0;0;1;1;3;0.925;0.7192982456140351;0.8779780564263323
Process101;0;0;0;0;1;2;0;0.9954545454545455;0.9734513274336283;0.9892857142857143
Process101;0;0;0;0;1;2;1;0.9727272727272728;0.8849557522123894;0.943222506393862
Process101;0;0;0;0;1;2;2;0.9477272727272728;0.8035714285714286;0.9044534412955466
Process101;0;0;0;0;1;2;3;0.9113636363636364;0.7079646017699115;0.8671875
Process101;0;0;0;0;1;3;0;0.9920454545454546;0.9642857142857143;0.9821428571428572
Process101;0;0;0;0;1;3;1;0.9738636363636364;0.8928571428571429;0.9452445652173913
Process101;0;0;0;0;1;3;2;0.9352272727272728;0.7857142857142857;0.8912815126050421
Process101;0;0;0;0;1;3;3;0.9375;0.75;0.8897222222222223
Process101;0;0;0;0;2;0;0;1.0;0.9827586206896551;1.0
Process101;0;0;0;0;2;0;1;0.990909090909091;0.9482758620689655;0.9796969696969697
Process101;0;0;0;0;2;0;2;0.9431818181818182;0.7931034482758621;0.9027777777777778
Process101;0;0;0;0;2;0;3;0.8954545454545455;0.6086956521739131;0.8492424242424242
Process101;0;0;0;0;2;1;0;0.9965909090909091;0.9739130434782609;0.9928571428571429
Process101;0;0;0;0;2;1;1;0.9625;0.8347826086956521;0.927
Process101;0;0;0;0;2;1;2;0.9329545454545455;0.7304347826086957;0.8863095238095239
Process101;0;0;0;0;2;1;3;0.9125;0.6666666666666666;0.8645894428152493
Process101;0;0;0;0;2;2;0;0.9931818181818182;0.9649122807017544;0.9857142857142858
Process101;0;0;0;0;2;2;1;0.9818181818181818;0.9074074074074074;0.9571428571428572
Process101;0;0;0;0;2;2;2;0.9545454545454546;0.8245614035087719;0.915950226244344
Process101;0;0;0;0;2;2;3;0.9340909090909091;0.7256637168141593;0.8858585858585859
Process101;0;0;0;0;2;3;0;0.9943181818181818;0.9642857142857143;0.9857142857142858
Process101;0;0;0;0;2;3;1;0.9670454545454545;0.8495575221238938;0.9327205882352941
Process101;0;0;0;0;2;3;2;0.9340909090909091;0.7610619469026548;0.8894636015325671
Process101;0;0;0;0;2;3;3;0.9431818181818182;0.7610619469026548;0.8974358974358975
Process101;0;0;0;0;3;0;0;1.0;0.9743589743589743;1.0
Process101;0;0;0;0;3;0;1;0.9715909090909091;0.8717948717948718;0.9430555555555555
Process101;0;0;0;0;3;0;2;0.9386363636363636;0.7521367521367521;0.895
Process101;0;0;0;0;3;0;3;0.9227272727272727;0.7008547008547008;0.8766666666666667
Process101;0;0;0;0;3;1;0;0.9977272727272727;0.9655172413793104;0.9933333333333334
Process101;0;0;0;0;3;1;1;0.9375;0.782608695652174;0.8966531440162272
Process101;0;0;0;0;3;1;2;0.9556818181818182;0.8103448275862069;0.9173076923076924
Process101;0;0;0;0;3;1;3;0.9386363636363636;0.7719298245614035;0.8946428571428572
Process101;0;0;0;0;3;2;0;0.9954545454545455;0.9565217391304348;0.9892857142857143
Process101;0;0;0;0;3;2;1;0.9613636363636364;0.8173913043478261;0.9242222222222223
Process101;0;0;0;0;3;2;2;0.9397727272727273;0.7719298245614035;0.8960526315789474
Process101;0;0;0;0;3;2;3;0.9295454545454546;0.7192982456140351;0.8809523809523809
Process101;0;0;0;0;3;3;0;0.9943181818181818;0.9557522123893806;0.9857142857142858
Process101;0;0;0;0;3;3;1;0.9602272727272727;0.8070175438596491;0.9210526315789473
Process101;0;0;0;0;3;3;2;0.9375;0.7747747747747747;0.8905228758169935
Process101;0;0;0;0;3;3;3;0.9329545454545455;0.7090909090909091;0.8798245614035088
Process101;0;0;0;1;0;0;0;0.9711111111111111;0.9739130434782609;0.9515810276679841
Process101;0;0;0;1;0;0;1;0.9466666666666667;0.8869565217391304;0.9047173913043478
Process101;0;0;0;1;0;0;2;0.8933333333333333;0.7130434782608696;0.8357766018306636
Process101;0;0;0;1;0;0;3;0.9022222222222223;0.7130434782608696;0.8418840579710145
Process101;0;0;0;1;0;1;0;0.9477777777777778;0.8771929824561403;0.9038203324808185
Process101;0;0;0;1;0;1;1;0.9566666666666667;0.8928571428571429;0.9173564287375029
Process101;0;0;0;1;0;1;2;0.8966666666666666;0.6842105263157895;0.8338537549407115
Process101;0;0;0;1;0;1;3;0.8633333333333333;0.5892857142857143;0.8009125784701232
Process101;0;0;0;1;0;2;0;0.9577777777777777;0.9026548672566371;0.9203804347826088
Process101;0;0;0;1;0;2;1;0.9333333333333333;0.7964601769911505;0.8787173913043479
Process101;0;0;0;1;0;2;2;0.9155555555555556;0.7433628318584071;0.8541062801932368
Process101;0;0;0;1;0;2;3;0.8844444444444445;0.672566371681416;0.8245475348450177
Process101;0;0;0;1;0;3;0;0.9611111111111111;0.9464285714285714;0.9311264822134387
Process101;0;0;0;1;0;3;1;0.9477777777777778;0.8888888888888888;0.902329192546584
Process101;0;0;0;1;0;3;2;0.8944444444444445;0.6964285714285714;0.8320255407101204
Process101;0;0;0;1;0;3;3;0.9144444444444444;0.7678571428571429;0.8545031055900622
Process101;0;0;0;1;1;0;0;0.96;0.9217391304347826;0.9266304347826088
Process101;0;0;0;1;1;0;1;0.94;0.8620689655172413;0.8950250836120401
Process101;0;0;0;1;1;0;2;0.8933333333333333;0.7068965517241379;0.8357766018306636
Process101;0;0;0;1;1;0;3;0.9022222222222223;0.7068965517241379;0.8418840579710145
Process101;0;0;0;1;1;1;0;0.9677777777777777;0.9565217391304348;0.9447628458498024
Process101;0;0;0;1;1;1;1;0.9366666666666666;0.8468468468468469;0.8858840579710145
Process101;0;0;0;1;1;1;2;0.9233333333333333;0.782608695652174;0.8666793796084414
Process101;0;0;0;1;1;1;3;0.9166666666666666;0.7304347826086957;0.8566315327184892
Process101;0;0;0;1;1;2;0;0.9533333333333334;0.8947368421052632;0.9143840579710145
Process101;0;0;0;1;1;2;1;0.9377777777777778;0.8245614035087719;0.8862173913043478
