model,addActSerial,addActParallel,deleteAct,replaceAct,addConst,removeConst,swapAct,GED, CNE, Jaccard
Process101,0,0,0,1,0,0,1,0.782608695652174,0.782608695652174,0.8575703324808184
Process101,0,0,0,1,0,0,2,0.831858407079646,0.831858407079646,0.8783395632500492
Process101,0,0,0,1,0,0,3,0.7130434782608696,0.7130434782608696,0.8384431977559608
Process101,0,0,0,1,0,1,0,0.9298245614035088,0.9298245614035088,0.9322628458498023
Process101,0,0,0,1,0,1,1,0.7543859649122807,0.7543859649122807,0.8478549624618431
Process101,0,0,0,1,0,1,2,0.7543859649122807,0.7543859649122807,0.850970567347905
Process101,0,0,0,1,0,1,3,0.7678571428571428,0.7678571428571429,0.8555682684973303
Process101,0,0,0,1,0,2,0,0.9557522123893806,0.9557522123893806,0.9411914172783739
Process101,0,0,0,1,0,2,1,0.7964601769911505,0.7964601769911505,0.8596139430284858
Process101,0,0,0,1,0,2,2,0.7787610619469026,0.7787610619469026,0.859860248447205
Process101,0,0,0,1,0,2,3,0.7433628318584071,0.7433628318584071,0.8495031055900621
Process101,0,0,0,1,0,3,0,0.9285714285714286,0.9285714285714286,0.9225155279503106
Process101,0,0,0,1,0,3,1,0.8928571428571429,0.8928571428571429,0.9081340579710145
Process101,0,0,0,1,0,3,2,0.7321428571428572,0.7321428571428571,0.8457074094531681
Process101,0,0,0,1,0,3,3,0.6727272727272727,0.6727272727272727,0.8179338598951797
Process101,0,0,0,1,1,0,0,0.9217391304347826,0.9217391304347826,0.9266304347826088
Process101,0,0,0,1,1,0,1,0.8828828828828829,0.8828828828828829,0.9005434782608697
Process101,0,0,0,1,1,0,2,0.8275862068965517,0.8275862068965517,0.885302861389818
Process101,0,0,0,1,1,0,3,0.6956521739130435,0.6956521739130435,0.8298106927397545
Process101,0,0,0,1,1,1,0,0.9217391304347826,0.9217391304347826,0.9291304347826087
Process101,0,0,0,1,1,1,1,0.7304347826086957,0.7304347826086957,0.8439016018306637
Process101,0,0,0,1,1,1,2,0.7130434782608696,0.7130434782608696,0.8394958293349081
Process101,0,0,0,1,1,1,3,0.817391304347826,0.8173913043478261,0.8825250836120402
Process101,0,0,0,1,1,2,0,0.9473684210526316,0.9473684210526315,0.9411914172783739
Process101,0,0,0,1,1,2,1,0.8421052631578947,0.8421052631578947,0.893687979539642
Process101,0,0,0,1,1,2,2,0.8245614035087719,0.8245614035087719,0.8829951690821256
Process101,0,0,0,1,1,2,3,0.6666666666666667,0.6666666666666666,0.8298068341195971
Process101,0,0,0,1,1,3,0,0.9557522123893806,0.9557522123893806,0.9411914172783739
Process101,0,0,0,1,1,3,1,0.7964601769911505,0.7964601769911505,0.8729016018306637
Process101,0,0,0,1,1,3,2,0.7238095238095238,0.7238095238095238,0.8377287035215424
Process101,0,0,0,1,1,3,3,0.7207207207207207,0.7207207207207207,0.8398414514547238
Process101,0,0,0,1,2,0,0,0.9137931034482758,0.9137931034482759,0.9214673913043478
Process101,0,0,0,1,2,0,1,0.8421052631578947,0.8421052631578947,0.8875703324808184
Process101,0,0,0,1,2,0,2,0.6725663716814159,0.672566371681416,0.8235061613578238
Process101,0,0,0,1,2,0,3,0.7478260869565218,0.7478260869565218,0.8520031055900621
Process101,0,0,0,1,2,1,0,0.9310344827586207,0.9310344827586207,0.932608695652174
Process101,0,0,0,1,2,1,1,0.7413793103448276,0.7413793103448276,0.8479951690821257
Process101,0,0,0,1,2,1,2,0.7130434782608696,0.7130434782608696,0.8372886986048572
Process101,0,0,0,1,2,1,3,0.6902654867256637,0.6902654867256637,0.837782326369283
Process101,0,0,0,1,2,2,0,0.9043478260869565,0.9043478260869565,0.9254446640316205
Process101,0,0,0,1,2,2,1,0.7652173913043478,0.7652173913043478,0.8725250836120402
Process101,0,0,0,1,2,2,2,0.7433628318584071,0.7433628318584071,0.8529366895499619
Process101,0,0,0,1,2,2,3,0.6782608695652175,0.6782608695652174,0.8386499931852256
Process101,0,0,0,1,2,3,0,0.8947368421052632,0.8947368421052632,0.9135869565217392
Process101,0,0,0,1,2,3,1,0.7610619469026548,0.7610619469026548,0.8584922451055175
Process101,0,0,0,1,2,3,2,0.7192982456140351,0.7192982456140351,0.8436384439359268
