model,addActSerial,addActParallel,deleteAct,replaceAct,addConst,removeConst,swapAct,GED, CNE, Jaccard
Process101,0,0,0,0,2,0,2,0.8245614035087719,0.8245614035087719,0.9236842105263159
Process101,0,0,0,0,2,0,3,0.7478260869565218,0.7478260869565218,0.8963768115942029
Process101,0,0,0,0,2,1,0,0.9824561403508771,0.9824561403508771,0.9964285714285714
Process101,0,0,0,0,2,1,1,0.8421052631578947,0.8421052631578947,0.9217194570135747
Process101,0,0,0,0,2,1,2,0.8141592920353982,0.8141592920353983,0.9044117647058824
Process101,0,0,0,0,2,1,3,0.7130434782608696,0.7130434782608696,0.875909090909091
Process101,0,0,0,0,2,2,0,0.9734513274336283,0.9734513274336283,0.9857142857142858
Process101,0,0,0,0,2,2,1,0.8596491228070176,0.8596491228070176,0.93325
Process101,0,0,0,0,2,2,2,0.7894736842105263,0.7894736842105263,0.9014705882352941
Process101,0,0,0,0,2,2,3,0.9122807017543859,0.9122807017543859,0.9548913043478261
Process101,0,0,0,0,2,3,0,0.9734513274336283,0.9734513274336283,0.9857142857142858
Process101,0,0,0,0,2,3,1,0.8928571428571429,0.8928571428571429,0.943222506393862
Process101,0,0,0,0,2,3,2,0.7610619469026548,0.7610619469026548,0.8885395537525356
Process101,0,0,0,0,2,3,3,0.7610619469026548,0.7610619469026548,0.8906954887218046
Process101,0,0,0,0,3,0,0,0.9827586206896551,0.9827586206896551,0.9966666666666667
Process101,0,0,0,0,3,0,1,0.8888888888888888,0.8888888888888888,0.9500000000000001
Process101,0,0,0,0,3,0,2,0.7863247863247863,0.7863247863247863,0.9070175438596492
Process101,0,0,0,0,3,0,3,0.6379310344827587,0.6379310344827587,0.8545454545454546
Process101,0,0,0,0,3,1,0,0.9739130434782609,0.9739130434782609,0.9863636363636363
Process101,0,0,0,0,3,1,1,0.8869565217391304,0.8869565217391304,0.9355769230769231
Process101,0,0,0,0,3,1,2,0.782608695652174,0.782608695652174,0.9014097744360903
Process101,0,0,0,0,3,1,3,0.7413793103448276,0.7413793103448276,0.8925000000000001
Process101,0,0,0,0,3,2,0,0.9565217391304348,0.9565217391304348,0.9857142857142858
Process101,0,0,0,0,3,2,1,0.8771929824561404,0.8771929824561403,0.940625
Process101,0,0,0,0,3,2,2,0.9824561403508771,0.9824561403508771,0.9964285714285714
Process101,0,0,0,0,3,2,3,0.7130434782608696,0.7130434782608696,0.8832792207792208
Process101,0,0,0,0,3,3,0,0.9557522123893806,0.9557522123893806,0.9821428571428572
Process101,0,0,0,0,3,3,1,0.9026548672566371,0.9026548672566371,0.9508695652173913
Process101,0,0,0,0,3,3,2,0.8245614035087719,0.8245614035087719,0.9187782805429865
Process101,0,0,0,0,3,3,3,0.6902654867256637,0.6902654867256637,0.8621875
Process101,0,0,0,1,0,0,0,0.9565217391304348,0.9565217391304348,0.9391304347826087
Process101,0,0,0,1,0,0,1,0.817391304347826,0.8173913043478261,0.876328502415459
Process101,0,0,0,1,0,0,2,0.7478260869565218,0.7478260869565218,0.8568840579710145
Process101,0,0,0,1,0,0,3,0.6956521739130435,0.6956521739130435,0.8320923913043479
Process101,0,0,0,1,0,1,0,0.9649122807017544,0.9649122807017544,0.9480095990965556
Process101,0,0,0,1,0,1,1,0.8596491228070176,0.8596491228070176,0.9062929061784897
Process101,0,0,0,1,0,1,2,0.8070175438596492,0.8070175438596491,0.8707729468599034
Process101,0,0,0,1,0,1,3,0.631578947368421,0.631578947368421,0.8182744565217391
Process101,0,0,0,1,0,2,0,0.8849557522123894,0.8849557522123894,0.9058423913043478
Process101,0,0,0,1,0,2,1,0.8495575221238938,0.8495575221238938,0.8861308528428093
Process101,0,0,0,1,0,2,2,0.6725663716814159,0.672566371681416,0.8226336592469315
Process101,0,0,0,1,0,2,3,0.7787610619469026,0.7787610619469026,0.8572808833678399
Process101,0,0,0,1,0,3,0,0.875,0.875,0.8964673913043478
Process101,0,0,0,1,0,3,1,0.8035714285714286,0.8035714285714286,0.8709866220735787
Process101,0,0,0,1,0,3,2,0.7142857142857143,0.7142857142857143,0.8362700228832952
Process101,0,0,0,1,0,3,3,0.6785714285714286,0.6785714285714286,0.8334775793921221
Process101,0,0,0,1,1,0,0,0.896551724137931,0.896551724137931,0.9107173913043478
Process101,0,0,0,1,1,0,1,0.8620689655172413,0.8620689655172413,0.9054951690821256
Process101,0,0,0,1,1,0,2,0.7931034482758621,0.7931034482758621,0.8679951690821256
Process101,0,0,0,1,1,0,3,0.7758620689655172,0.7758620689655172,0.8685507246376811
Process101,0,0,0,1,1,1,0,0.9391304347826087,0.9391304347826087,0.932608695652174
Process101,0,0,0,1,1,1,1,0.9203539823008849,0.9203539823008849,0.9225155279503106
Process101,0,0,0,1,1,1,2,0.7387387387387387,0.7387387387387387,0.8519481605351171
Process101,0,0,0,1,1,1,3,0.6608695652173913,0.6608695652173913,0.827240851714905
Process101,0,0,0,1,1,2,0,0.9122807017543859,0.9122807017543859,0.9254446640316205
Process101,0,0,0,1,1,2,1,0.7543859649122807,0.7543859649122807,0.8498917208062635
Process101,0,0,0,1,1,2,2,0.7192982456140351,0.7192982456140351,0.8491459627329193
Process101,0,0,0,1,1,2,3,0.6842105263157895,0.6842105263157895,0.8386499931852256
Process101,0,0,0,1,1,3,0,0.9380530973451328,0.9380530973451328,0.9409316770186336
Process101,0,0,0,1,1,3,1,0.7256637168141593,0.7256637168141593,0.8379951690821257
Process101,0,0,0,1,1,3,2,0.7027027027027026,0.7027027027027027,0.8362888198757764
Process101,0,0,0,1,1,3,3,0.6666666666666667,0.6666666666666666,0.8223481213552817
Process101,0,0,0,1,2,0,0,0.9572649572649573,0.9572649572649573,0.9585507246376812
Process101,0,0,0,1,2,0,1,0.8275862068965517,0.8275862068965517,0.8909016018306637
Process101,0,0,0,1,2,0,2,0.7008547008547008,0.7008547008547008,0.8345923913043478
Process101,0,0,0,1,2,0,3,0.7863247863247863,0.7863247863247863,0.872234935163997
Process101,0,0,0,1,2,1,0,0.9310344827586207,0.9310344827586207,0.9415810276679842
Process101,0,0,0,1,2,1,1,0.8596491228070176,0.8596491228070176,0.889319955406912
Process101,0,0,0,1,2,1,2,0.8596491228070176,0.8596491228070176,0.8894237405106971
Process101,0,0,0,1,2,1,3,0.5739130434782609,0.5739130434782609,0.8018012422360249
Process101,0,0,0,1,2,2,0,0.9217391304347826,0.9217391304347826,0.9241459627329193
Process101,0,0,0,1,2,2,1,0.7652173913043478,0.7652173913043478,0.8544668842049563
Process101,0,0,0,1,2,2,2,0.6956521739130435,0.6956521739130435,0.843822406978329
Process101,0,0,0,1,2,2,3,0.6782608695652175,0.6782608695652174,0.8345031055900621
Process101,0,0,0,1,2,3,0,0.9298245614035088,0.9298245614035088,0.9371221532091097
Process101,0,0,0,1,2,3,1,0.8245614035087719,0.8245614035087719,0.8795336306205872
