model,addActSerial,addActParallel,deleteAct,replaceAct,addConst,removeConst,swapAct,,GED-Similarity
Process25,0,0,1,2,1,1,3,8,0.427184466
Process25,0,0,1,2,1,2,0,6,0.693069307
Process25,0,0,1,2,1,2,1,7,0.737864078
Process25,0,0,1,2,1,2,2,8,0.453608247
Process25,0,0,1,2,1,2,3,9,0.490196078
Process25,0,0,1,2,1,3,0,7,0.705882353
Process25,0,0,1,2,1,3,1,8,0.504672897
Process25,0,0,1,2,1,3,2,9,0.796116505
Process25,0,0,1,2,1,3,3,10,0.343434343
Process25,0,0,1,2,2,0,0,5,0.579439252
Process25,0,0,1,2,2,0,1,6,0.384615385
Process25,0,0,1,2,2,0,2,7,0.375
Process25,0,0,1,2,2,0,3,8,0.288461538
Process25,0,0,1,2,2,1,0,6,0.552380952
Process25,0,0,1,2,2,1,1,7,0.576923077
Process25,0,0,1,2,2,1,2,8,0.303030303
Process25,0,0,1,2,2,1,3,9,0.38
Process25,0,0,1,2,2,2,0,7,0.745098039
Process25,0,0,1,2,2,2,1,8,0.611111111
Process25,0,0,1,2,2,2,2,9,0.433962264
Process25,0,0,1,2,2,2,3,10,0.242424242
Process25,0,0,1,2,2,3,0,8,0.7
Process25,0,0,1,2,2,3,1,9,0.68
Process25,0,0,1,2,2,3,2,10,0.38
Process25,0,0,1,2,2,3,3,11,0.5
Process25,0,0,1,2,3,0,0,6,0.754716981
Process25,0,0,1,2,3,0,1,7,0.309090909
Process25,0,0,1,2,3,0,2,8,0.462962963
Process25,0,0,1,2,3,0,3,9,0.264150943
Process25,0,0,1,2,3,1,0,7,0.611111111
Process25,0,0,1,2,3,1,1,8,0.523364486
Process25,0,0,1,2,3,1,2,9,0.4
Process25,0,0,1,2,3,1,3,10,0.5
Process25,0,0,1,2,3,2,0,8,0.76635514
Process25,0,0,1,2,3,2,1,9,0.527272727
Process25,0,0,1,2,3,2,2,10,0.355140187
Process25,0,0,1,2,3,2,3,11,0.317757009
Process25,0,0,1,2,3,3,0,9,0.61682243
Process25,0,0,1,2,3,3,1,10,0.391752577
Process25,0,0,1,2,3,3,2,11,0.432989691
Process25,0,0,1,2,3,3,3,12,0.268041237
Process25,0,0,1,3,0,0,0,4,0.605504587
Process25,0,0,1,3,0,0,1,5,0.433962264
Process25,0,0,1,3,0,0,2,6,0.26
Process25,0,0,1,3,0,0,3,7,0.601941748
Process25,0,0,1,3,0,1,0,5,0.653061224
Process25,0,0,1,3,0,1,1,6,0.367346939
Process25,0,0,1,3,0,1,2,7,0.54368932
Process25,0,0,1,3,0,1,3,8,0.319148936
Process25,0,0,1,3,0,2,0,6,0.538461538
Process25,0,0,1,3,0,2,1,7,0.448598131
Process25,0,0,1,3,0,2,2,8,0.24742268
Process25,0,0,1,3,0,2,3,9,0.285714286
Process25,0,0,1,3,0,3,0,7,0.457142857
Process25,0,0,1,3,0,3,1,8,0.396039604
Process25,0,0,1,3,0,3,2,9,0.336633663
Process25,0,0,1,3,0,3,3,10,0.404040404
Process25,0,0,1,3,1,0,0,5,0.513761468
Process25,0,0,1,3,1,0,1,6,0.37037037
Process25,0,0,1,3,1,0,2,7,0.36
Process25,0,0,1,3,1,0,3,8,0.252427184
Process25,0,0,1,3,1,1,0,6,0.557692308
Process25,0,0,1,3,1,1,1,7,0.489795918
Process25,0,0,1,3,1,1,2,8,0.28
Process25,0,0,1,3,1,1,3,9,0.285714286
Process25,0,0,1,3,1,2,0,7,0.37037037
Process25,0,0,1,3,1,2,1,8,0.425925926
Process25,0,0,1,3,1,2,2,9,0.34
Process25,0,0,1,3,1,2,3,10,0.303030303
Process25,0,0,1,3,1,3,0,8,0.542056075
Process25,0,0,1,3,1,3,1,9,0.391752577
Process25,0,0,1,3,1,3,2,10,0.419047619
Process25,0,0,1,3,1,3,3,11,0.19047619
Process25,0,0,1,3,2,0,0,6,0.612612613
Process25,0,0,1,3,2,0,1,7,0.429906542
Process25,0,0,1,3,2,0,2,8,0.3
Process25,0,0,1,3,2,0,3,9,0.270833333
Process25,0,0,1,3,2,1,0,7,0.759259259
