baseline-sim, discover-sim
0.901443693,0.2948
0.901298382,0.2948
0.901298382,0.2948
0.90105215,0.2948
0.901153329,0.2948
0.901210851,0.2948
0.901342206,0.2948
0.901748694,0.2948
0.901386069,0.2948
0.901342206,0.2948
0.901240809,0.2948
0.901038284,0.2948
0.901240809,0.2948
0.901240809,0.2948
0.900994653,0.2948
0.90119705,0.2948
0.901008532,0.2948
0.901095807,0.2948
0.901095807,0.2948
0.901038284,0.2948
0.901386069,0.2948
0.901342206,0.2948
0.901443693,0.2948
0.901342206,0.2948
0.901139502,0.2948
0.90119705,0.2948
0.901386069,0.2948
0.901443693,0.2948
0.901139502,0.2948
0.901139502,0.2948
0.901081954,0.2948
0.901240809,0.2948
0.901240809,0.2948
0.901342206,0.2948
0.901240809,0.2948
0.901183236,0.2948
0.901342206,0.2948
0.901227009,0.2948
0.901183236,0.2948
0.900980762,0.2948
0.901240809,0.2948
0.901240809,0.2948
0.90119705,0.2948
0.901342206,0.2948
0.90119705,0.2948
0.901139502,0.2948
0.901342206,0.2948
0.901240809,0.2948
0.901240809,0.2948
0.90119705,0.2948
0.901153329,0.2948
0.897844754,0.2948
0.898047458,0.2948
0.901298382,0.2948
0.901139502,0.2948
0.901240809,0.2948
0.901240809,0.2948
0.901240809,0.2948
0.901284608,0.2948
0.901240809,0.2948
0.901240809,0.2948
0.901095807,0.2948
0.900893589,0.2948
0.900893589,0.2948
0.900893589,0.2948
0.901342206,0.2948
0.901284608,0.2948
0.901095807,0.2948
0.901298382,0.2948
0.90119705,0.2948
0.901139502,0.2948
0.90119705,0.2948
0.901342206,0.2948
0.90119705,0.2948
0.901284608,0.2948
0.901284608,0.2948
0.901153329,0.2948
0.900994653,0.2948
0.901081954,0.2948
0.90106809,0.2948
0.900966859,0.2948
0.900851764,0.2948
0.900823819,0.2948
0.884466114,0.289019608
0.884276144,0.289019608
0.868887467,0.283461538
0.869013754,0.283461538
0.868887467,0.283461538
0.839903245,0.272962963
0.83992079,0.272962963
0.839694875,0.272962963
