sep=,
addActSerial,addActParallel,replaceAct,addConst,swapActivities,totalChanges,GED,LCS
0,2,1,1,2,6,0.825,0.4791716530191981
0,2,1,1,3,7,0.8619246861924686,0.3513761086569571
0,2,1,2,0,5,0.9128630705394191,0.5014834735002978
0,2,1,2,1,6,0.8962655601659751,0.4336564078502527
0,2,1,2,2,7,0.8962655601659751,0.4793107465037877
0,2,1,2,3,8,0.8049792531120332,0.4010189761551014
0,2,1,3,0,6,0.9377593360995851,0.4780040301018499
0,2,1,3,1,7,0.8181818181818181,0.35637661225576855
0,2,1,3,2,8,0.8833333333333333,0.36421087704430605
0,2,1,3,3,9,0.8016528925619835,0.42340449425126847
0,2,2,0,0,4,0.9583333333333334,0.47628097805249836
0,2,2,0,1,5,0.8833333333333333,0.4718410092504637
0,2,2,0,2,6,0.8166666666666667,0.43624880163280727
0,2,2,0,3,7,0.85,0.43218525178799716
0,2,2,1,0,5,0.9211618257261411,0.46560502455762764
0,2,2,1,1,6,0.8916666666666666,0.4453885739175347
0,2,2,1,2,7,0.8713692946058091,0.39979550153755744
0,2,2,1,3,8,0.7717842323651453,0.38650445897058416
0,2,2,2,0,6,0.8630705394190872,0.45858566688943764
0,2,2,2,1,7,0.8760330578512396,0.4400034971758606
0,2,2,2,2,8,0.7883817427385892,0.424018457885751
0,2,2,2,3,9,0.7800829875518672,0.4036611107704585
0,2,2,3,0,7,0.9135802469135803,0.435273927336135
0,2,2,3,1,8,0.8630705394190872,0.46008897710232854
0,2,2,3,2,9,0.8132780082987552,0.4452081610877864
0,2,2,3,3,10,0.7736625514403292,0.402008322072374
0,2,3,0,0,5,0.8464730290456431,0.39911621402052677
0,2,3,0,1,6,0.8962655601659751,0.28815564918018416
0,2,3,0,2,7,0.8630705394190872,0.4236197095667107
0,2,3,0,3,8,0.7800829875518672,0.4384621648203571
0,2,3,1,0,6,0.9090909090909091,0.4383247365857059
0,2,3,1,1,7,0.8429752066115702,0.3935128241564534
0,2,3,1,2,8,0.8512396694214877,0.43429888971486463
0,2,3,1,3,9,0.7851239669421488,0.431662815850671
0,2,3,2,0,7,0.9211618257261411,0.45890135317564196
0,2,3,2,1,8,0.8559670781893004,0.41383626806512297
0,2,3,2,2,9,0.831275720164609,0.45080583424174964
0,2,3,2,3,10,0.768595041322314,0.3910701850007159
0,2,3,3,0,8,0.8688524590163934,0.42781126874544273
0,2,3,3,1,9,0.8770491803278688,0.45607038148946144
0,2,3,3,2,10,0.819672131147541,0.4350887032297567
0,2,3,3,3,11,0.7302904564315353,0.3756564710345246
0,3,0,0,0,3,0.9874476987447699,0.4735681353040817
0,3,0,0,1,4,0.9288702928870293,0.480081983316452
0,3,0,0,2,5,0.8786610878661087,0.4421032110050239
0,3,0,0,3,6,0.8535564853556485,0.4133516014200741
0,3,0,1,0,4,0.9833333333333333,0.4932688409385126
0,3,0,1,1,5,0.9,0.48321989666903137
0,3,0,1,2,6,0.85,0.4126331626746119
0,3,0,1,3,7,0.8416666666666667,0.44477051038783283
0,3,0,2,0,5,0.979253112033195,0.4804870569116893
0,3,0,2,1,6,0.919831223628692,0.4708666782626105
0,3,0,2,2,7,0.9083333333333333,0.43869550693761006
0,3,0,2,3,8,0.8464730290456431,0.43937818129873146
0,3,0,3,0,6,0.9752066115702479,0.4842526080785913
0,3,0,3,1,7,0.9211618257261411,0.4439232954870283
0,3,0,3,2,8,0.875,0.4656262577779138
0,3,0,3,3,9,0.8049792531120332,0.428108822377264
0,3,1,0,0,4,0.975,0.46469423055859127
0,3,1,0,1,5,0.925,0.45826938205187967
0,3,1,0,2,6,0.8416666666666667,0.43021390774063867
0,3,1,0,3,7,0.825,0.43650492261160895
0,3,1,1,0,5,0.946058091286307,0.460538057879514
0,3,1,1,1,6,0.8630705394190872,0.43914821209968236
0,3,1,1,2,7,0.875,0.4210787096913968
0,3,1,1,3,8,0.8049792531120332,0.40608996019395105
0,3,1,2,0,6,0.9586776859504132,0.4663138049357839
0,3,1,2,1,7,0.9173553719008265,0.4433590694287688
0,3,1,2,2,8,0.8879668049792531,0.4432068888255948
0,3,1,2,3,9,0.8512396694214877,0.42417163705593974
0,3,1,3,0,7,0.9421487603305785,0.4667379506437169
0,3,1,3,1,8,0.8641975308641976,0.4449750155036042
0,3,1,3,2,9,0.8215767634854771,0.43034547197533746
0,3,1,3,3,10,0.7325102880658436,0.3769053940254465
0,3,2,0,0,5,0.9045643153526971,0.4569199172582182
0,3,2,0,1,6,0.8298755186721991,0.44464889135209573
0,3,2,0,2,7,0.8215767634854771,0.39642774019187577
0,3,2,0,3,8,0.7966804979253113,0.4406887850354049
0,3,2,1,0,6,0.8925619834710744,0.43310476565037825
0,3,2,1,1,7,0.8429752066115702,0.4429711525790461
0,3,2,1,2,8,0.8464730290456431,0.3318695520098017
0,3,2,1,3,9,0.7468879668049793,0.4348588773808175
0,3,2,2,0,7,0.9300411522633745,0.44390728035029514
0,3,2,2,1,8,0.8477366255144033,0.4453649125725997
0,3,2,2,2,9,0.831275720164609,0.40882876303207777
0,3,2,2,3,10,0.7736625514403292,0.40151676475149656
0,3,2,3,0,8,0.9465020576131687,0.4566112303078848
0,3,2,3,1,9,0.8925619834710744,0.41477718545993847
0,3,2,3,2,10,0.819672131147541,0.41770218621046923
0,3,2,3,3,11,0.7622950819672132,0.4326848100445317
0,3,3,0,0,6,0.9338842975206612,0.43442794133315166
0,3,3,0,1,7,0.8347107438016529,0.4262103766562915
0,3,3,0,2,8,0.7603305785123967,0.39539471540261295
0,3,3,0,3,9,0.8099173553719008,0.3983188953199739
0,3,3,1,0,7,0.8806584362139918,0.4339267073343448
0,3,3,1,1,8,0.8148148148148149,0.4185980099171445
0,3,3,1,2,9,0.7983539094650206,0.4294860889318257
0,3,3,1,3,10,0.823045267489712,0.41982210064439285
0,3,3,2,0,8,0.9098360655737705,0.4247680045550519
0,3,3,2,1,9,0.8852459016393442,0.46345312868581023
0,3,3,2,2,10,0.7736625514403292,0.4482353128275267
0,3,3,2,3,11,0.7540983606557377,0.40363935519981275
0,3,3,3,0,9,0.8559670781893004,0.42355552087928516
0,3,3,3,1,10,0.8688524590163934,0.39609989597502865
0,3,3,3,2,11,0.819672131147541,0.4192647354394376
0,3,3,3,3,12,0.7510204081632653,0.39332799860046097
1,0,0,0,0,1,0.9707112970711297,0.49315021313095153
1,0,0,0,1,2,0.9037656903765691,0.4251860789322246
1,0,0,0,2,3,0.8451882845188284,0.4245127842155838
1,0,0,0,3,4,0.8368200836820083,0.4394926054104279
1,0,0,1,0,2,0.9790794979079498,0.49249240707198483
1,0,0,1,1,3,0.925,0.4729690428898495
1,0,0,1,2,4,0.8916666666666666,0.4419899761162316
1,0,0,1,3,5,0.8200836820083682,0.41484808789959926
1,0,0,2,0,3,0.9626556016597511,0.48234507437891105
1,0,0,2,1,4,0.9333333333333333,0.4868868588301435
1,0,0,2,2,5,0.8333333333333334,0.48267085868712256
1,0,0,2,3,6,0.8,0.43721787751487834
1,0,0,3,0,4,0.9586776859504132,0.4989973706868704
1,0,0,3,1,5,0.9128630705394191,0.4781594976531753
1,0,0,3,2,6,0.8512396694214877,0.4422458433080405
1,0,0,3,3,7,0.8264462809917356,0.45096853428565953
1,0,1,0,0,2,0.9539748953974896,0.48288173070896323
1,0,1,0,1,3,0.9456066945606695,0.4721932514084748
1,0,1,0,2,4,0.8583333333333334,0.4591523916428938
1,0,1,0,3,5,0.803347280334728,0.40623238506696285
1,0,1,1,0,3,0.9333333333333333,0.42934743809589426
1,0,1,1,1,4,0.9,0.4510329088969357
1,0,1,1,2,5,0.8630705394190872,0.44660905582366517
1,0,1,1,3,6,0.7416666666666667,0.3756676027890803
1,0,1,2,0,4,0.9377593360995851,0.4669420183111845
