sep=,
model,addActSerial,addActParallel,deleteAct,replaceAct,addConst,removeConst,swapActivities,GED,LCS,BehavioralProfile
ResearchPaper1,0,0,0,1,1,3,2,0.6666666666666667,1.0,0.6367041198501873
ResearchPaper1,0,0,0,1,1,3,3,0.5555555555555556,1.0,0.7667342799188641
ResearchPaper1,0,0,0,1,2,0,0,0.9026548672566371,1.0,0.7317073170731707
ResearchPaper1,0,0,0,1,2,0,1,0.8867924528301887,1.0,0.8726899383983573
ResearchPaper1,0,0,0,1,2,0,2,0.6071428571428572,1.0,0.8131212723658051
ResearchPaper1,0,0,0,1,2,0,3,0.5585585585585586,1.0,0.3837837837837838
ResearchPaper1,0,0,0,1,2,1,0,0.8828828828828829,1.0,0.8709016393442623
ResearchPaper1,0,0,0,1,2,1,1,0.7678571428571428,1.0,0.6745886654478976
ResearchPaper1,0,0,0,1,2,1,2,0.6846846846846847,1.0,0.3983849259757739
ResearchPaper1,0,0,0,1,2,1,3,0.5535714285714286,1.0,0.32669789227166274
ResearchPaper1,0,0,0,1,2,2,0,0.8648648648648649,1.0,0.6945996275605214
ResearchPaper1,0,0,0,1,2,2,1,0.7387387387387387,1.0,0.842741935483871
ResearchPaper1,0,0,0,1,2,2,2,0.6238532110091743,1.0,0.6772983114446529
ResearchPaper1,0,0,0,1,2,2,3,0.5045045045045045,1.0,0.8003952569169961
ResearchPaper1,0,0,0,1,2,3,0,0.8990825688073394,1.0,0.8477366255144033
ResearchPaper1,0,0,0,1,2,3,1,0.7962962962962963,1.0,0.74573055028463
ResearchPaper1,0,0,0,1,2,3,2,0.780952380952381,1.0,0.35805330243337197
ResearchPaper1,0,0,0,1,2,3,3,0.7238095238095238,1.0,0.7465069860279441
ResearchPaper1,0,0,0,1,3,0,0,0.8947368421052632,1.0,0.38616352201257864
ResearchPaper1,0,0,0,1,3,0,1,0.7610619469026548,1.0,0.6955719557195572
ResearchPaper1,0,0,0,1,3,0,2,0.7321428571428572,1.0,0.8296593186372746
ResearchPaper1,0,0,0,1,3,0,3,0.5614035087719298,1.0,0.6642599277978339
ResearchPaper1,0,0,0,1,3,1,0,0.8849557522123894,1.0,0.3511111111111111
