sep=,
model,addActSerial,addActParallel,deleteAct,replaceAct,addConst,removeConst,swapActivities,GED,CNE,Jaccard,W-GED,LCS
ProcessD,0,0,0,0,2,3,0,0.9871244635193133,0.9871244635193133,0.9871047638070509,0.9968454258675079,0.4000000000000001
ProcessD,0,0,0,0,2,3,1,0.9106382978723404,0.9106382978723404,0.9432647323436798,0.9777306468716861,0.43750000000000006
ProcessD,0,0,0,0,2,3,2,0.8680851063829788,0.8680851063829788,0.8749880952380953,0.9669509594882729,0.38
ProcessD,0,0,0,0,2,3,3,0.7829787234042553,0.7829787234042553,0.8166346153846155,0.9450431034482759,0.3525
ProcessD,0,0,0,0,3,0,0,0.9915966386554622,0.9915966386554622,0.9926315789473685,0.9979035639412998,0.4225000000000001
ProcessD,0,0,0,0,3,0,1,0.9367088607594937,0.9367088607594937,0.9531323529411766,0.9841605068637803,0.38250000000000006
ProcessD,0,0,0,0,3,0,2,0.9113924050632911,0.9113924050632911,0.9042203771460737,0.9777542372881356,0.395
ProcessD,0,0,0,0,3,0,3,0.8535564853556485,0.8535564853556485,0.8744381110879967,0.9626865671641791,0.38750000000000007
ProcessD,0,0,0,0,3,1,0,0.9873417721518988,0.9873417721518988,0.9854256272401434,0.9968520461699895,0.41000000000000003
ProcessD,0,0,0,0,3,1,1,0.9327731092436975,0.9327731092436975,0.9319264705882353,0.9831045406546991,0.38
ProcessD,0,0,0,0,3,1,2,0.8739495798319328,0.8739495798319328,0.8846969696969698,0.9680851063829787,0.4050000000000001
ProcessD,0,0,0,0,3,1,3,0.8739495798319328,0.8739495798319328,0.8907835497835499,0.9680851063829787,0.3274999999999999
ProcessD,0,0,0,0,3,2,0,0.9789029535864979,0.9789029535864979,0.9767690058479532,0.9947478991596639,0.4225000000000001
ProcessD,0,0,0,0,3,2,1,0.9029535864978903,0.9029535864978903,0.9375128205128206,0.975609756097561,0.3975000000000001
ProcessD,0,0,0,0,3,2,2,0.9029535864978903,0.9029535864978903,0.9305974903474904,0.975609756097561,0.38500000000000006
ProcessD,0,0,0,0,3,2,3,0.8776371308016877,0.8776371308016878,0.8859168078298514,0.9691489361702128,0.41000000000000003
ProcessD,0,0,0,0,3,3,0,0.9787234042553191,0.9787234042553191,0.9768897058823529,0.9947423764458465,0.43250000000000005
ProcessD,0,0,0,0,3,3,1,0.8559322033898304,0.8559322033898306,0.8628787878787879,0.9637139807897546,0.36
ProcessD,0,0,0,0,3,3,2,0.8170212765957447,0.8170212765957446,0.8247691699604743,0.953862660944206,0.405
ProcessD,0,0,0,0,3,3,3,0.8220338983050848,0.8220338983050848,0.8404340704340705,0.954983922829582,0.38
ProcessD,0,0,0,1,0,0,0,0.9620253164556962,0.9620253164556962,0.9631015417331207,0.9854166666666667,0.41000000000000003
ProcessD,0,0,0,1,0,0,1,0.9282700421940928,0.9282700421940928,0.914576479076479,0.9769874476987448,0.4125
ProcessD,0,0,0,1,0,0,2,0.8523206751054853,0.8523206751054853,0.8672634032634032,0.9577613516367476,0.4
ProcessD,0,0,0,1,0,0,3,0.8270042194092827,0.8270042194092827,0.8499644268774703,0.951271186440678,0.36
ProcessD,0,0,0,1,0,1,0,0.9661016949152542,0.9661016949152542,0.9421111111111111,0.9864583333333333,0.41000000000000003
ProcessD,0,0,0,1,0,1,1,0.923728813559322,0.923728813559322,0.9016767676767676,0.9759162303664921,0.40000000000000013
ProcessD,0,0,0,1,0,1,2,0.8813559322033898,0.8813559322033898,0.890532604032604,0.9652631578947368,0.31749999999999995
ProcessD,0,0,0,1,0,1,3,0.7372881355932204,0.7372881355932204,0.7769756153669197,0.9281886387995713,0.405
ProcessD,0,0,0,1,0,2,0,0.9702127659574468,0.9702127659574468,0.960996278575226,0.9875,0.44000000000000006
ProcessD,0,0,0,1,0,2,1,0.8936170212765957,0.8936170212765957,0.9036825396825396,0.9684542586750788,0.39
ProcessD,0,0,0,1,0,2,2,0.8680851063829788,0.8680851063829788,0.8888391812865497,0.9620253164556962,0.40249999999999997
ProcessD,0,0,0,1,0,2,3,0.7829787234042553,0.7829787234042553,0.7942686202686202,0.9402985074626866,0.40750000000000003
ProcessD,0,0,0,1,0,3,0,0.9572649572649573,0.9572649572649573,0.940750816993464,0.9843423799582464,0.42250000000000004
ProcessD,0,0,0,1,0,3,1,0.9230769230769231,0.9230769230769231,0.9149407096171802,0.9758909853249476,0.37750000000000006
ProcessD,0,0,0,1,0,3,2,0.9230769230769231,0.9230769230769231,0.9293650793650794,0.9758909853249476,0.37
ProcessD,0,0,0,1,0,3,3,0.8448275862068966,0.8448275862068966,0.882472315124489,0.9565677966101696,0.3925
ProcessD,0,0,0,1,1,0,0,0.9789029535864979,0.9789029535864979,0.9735833333333334,0.9896049896049897,0.3925
ProcessD,0,0,0,1,1,0,1,0.9159663865546218,0.9159663865546218,0.8921813015061097,0.9738219895287958,0.3975
ProcessD,0,0,0,1,1,0,2,0.8813559322033898,0.8813559322033898,0.8741581027667984,0.9652631578947368,0.4025
ProcessD,0,0,0,1,1,0,3,0.8571428571428572,0.8571428571428571,0.8678038277511961,0.9588607594936709,0.37750000000000006
ProcessD,0,0,0,1,1,1,0,0.9745762711864406,0.9745762711864406,0.9717083333333334,0.9885535900104059,0.38500000000000006
ProcessD,0,0,0,1,1,1,1,0.8860759493670887,0.8860759493670886,0.9150584795321637,0.9663512092534174,0.38250000000000006
ProcessD,0,0,0,1,1,1,2,0.8898305084745762,0.8898305084745762,0.90056038647343,0.9674027339642481,0.3675
ProcessD,0,0,0,1,1,1,3,0.8016877637130801,0.8016877637130801,0.8083965791878835,0.944739638682253,0.37000000000000005
ProcessD,0,0,0,1,1,2,0,0.9661016949152542,0.9661016949152542,0.9466111111111111,0.9864583333333333,0.405
ProcessD,0,0,0,1,1,2,1,0.923728813559322,0.923728813559322,0.9058090516145436,0.9759162303664921,0.39999999999999997
ProcessD,0,0,0,1,1,2,2,0.8974358974358975,0.8974358974358975,0.9434444444444444,0.9695057833859095,0.4075000000000001
ProcessD,0,0,0,1,1,2,3,0.8220338983050848,0.8220338983050848,0.8528540372670808,0.9501590668080594,0.38250000000000006
ProcessD,0,0,0,1,1,3,0,0.9361702127659575,0.9361702127659575,0.937562656641604,0.9790794979079498,0.35750000000000004
ProcessD,0,0,0,1,1,3,1,0.8595744680851064,0.8595744680851064,0.9034025549613784,0.9598732840549102,0.41000000000000003
