model,addActSerial,addActParallel,deleteAct,replaceAct,addConst,removeConst,swapActivities,,GED,CNE,Jaccard,W-GED,LCS,,
Process25,0,0,0,1,1,0,3,5,0.242990654,0.242990654,0.619484848,0.357142857,0.355,,
Process25,0,0,0,1,1,1,0,3,0.844036697,0.844036697,0.834673882,0.877800407,0.5675,,
Process25,0,0,0,1,1,1,1,4,0.754716981,0.754716981,0.791571429,0.816067653,0.6675,,
Process25,0,0,0,1,1,1,2,5,0.415841584,0.415841584,0.661333333,0.552884615,0.505,,
Process25,0,0,0,1,1,1,3,6,0.469387755,0.469387755,0.675602007,0.609004739,0.4025,,
Process25,0,0,0,1,1,2,0,4,0.672897196,0.672897196,0.747080186,0.752711497,0.69,,
Process25,0,0,0,1,1,2,1,5,0.403846154,0.403846154,0.659,0.53125,0.4825,,
Process25,0,0,0,1,1,2,2,6,0.330097087,0.330097087,0.638508578,0.465346535,0.45,,
Process25,0,0,0,1,1,2,3,7,0.28,0.28,0.627259259,0.430379747,0.39,,
Process25,0,0,0,1,1,3,0,5,0.859813084,0.859813084,0.839027417,0.890020367,0.6375,,
Process25,0,0,0,1,1,3,1,6,0.962264151,0.962264151,0.913315789,0.958498024,0.68,,
Process25,0,0,0,1,1,3,2,7,0.67961165,0.67961165,0.746654545,0.76419214,0.665,,
Process25,0,0,0,1,1,3,3,8,0.376237624,0.376237624,0.64972549,0.517073171,0.2825,,
Process25,0,0,0,1,2,0,0,3,0.917431193,0.917431193,0.877979798,0.928429423,0.6925,,
Process25,0,0,0,1,2,0,1,4,0.480769231,0.480769231,0.681597403,0.60046729,0.5175,,
Process25,0,0,0,1,2,0,2,5,0.71559633,0.71559633,0.766544056,0.782978723,0.5825,,
Process25,0,0,0,1,2,0,3,6,0.274509804,0.274509804,0.627074074,0.415189873,0.4175,,
Process25,0,0,0,1,2,1,0,4,0.697247706,0.697247706,0.761647619,0.768736617,0.56,,
Process25,0,0,0,1,2,1,1,5,0.642201835,0.642201835,0.737266667,0.72489083,0.53,,
Process25,0,0,0,1,2,1,2,6,0.423076923,0.423076923,0.665153846,0.548926014,0.4225,,
Process25,0,0,0,1,2,1,3,7,0.3,0.3,0.630455338,0.449748744,0.5425,,
Process25,0,0,0,1,2,2,0,5,0.703703704,0.703703704,0.762767316,0.7751606,0.57,,
Process25,0,0,0,1,2,2,1,6,0.654205607,0.654205607,0.741228438,0.737991266,0.58,,
Process25,0,0,0,1,2,2,2,7,0.317757009,0.317757009,0.637494624,0.435643564,0.3825,,
Process25,0,0,0,1,2,2,3,8,0.326530612,0.326530612,0.636904412,0.483790524,0.4225,,
Process25,0,0,0,1,2,3,0,6,0.691588785,0.691588785,0.755565035,0.767241379,0.65,,
Process25,0,0,0,1,2,3,1,7,0.622641509,0.622641509,0.730666667,0.71460177,0.5825,,
Process25,0,0,0,1,2,3,2,8,0.356435644,0.356435644,0.646045977,0.498771499,0.4,,
Process25,0,0,0,1,2,3,3,9,0.458333333,0.458333333,0.670331382,0.606205251,0.4875,,
Process25,0,0,0,1,3,0,0,4,0.828828829,0.828828829,0.828671329,0.865580448,0.565,,
Process25,0,0,0,1,3,0,1,5,0.810810811,0.810810811,0.818419913,0.852459016,0.2925,,
Process25,0,0,0,1,3,0,2,6,0.444444444,0.444444444,0.668423351,0.584725537,0.4125,,
Process25,0,0,0,1,3,0,3,7,0.342857143,0.342857143,0.641631769,0.469287469,0.4425,,
Process25,0,0,0,1,3,1,0,5,0.666666667,0.666666667,0.746241026,0.74137931,0.645,,
Process25,0,0,0,1,3,1,1,6,0.485436893,0.485436893,0.681333333,0.607476636,0.3775,,
Process25,0,0,0,1,3,1,2,7,0.396039604,0.396039604,0.6565,0.535108959,0.4725,,
Process25,0,0,0,1,3,1,3,8,0.388888889,0.388888889,0.655,0.502403846,0.4025,,
Process25,0,0,0,1,3,2,0,6,0.862385321,0.862385321,0.844171717,0.890688259,0.765,,
Process25,0,0,0,1,3,2,1,7,0.537037037,0.537037037,0.697432773,0.638636364,0.575,,
Process25,0,0,0,1,3,2,2,8,0.381818182,0.381818182,0.654024123,0.487980769,0.4625,,
Process25,0,0,0,1,3,2,3,9,0.666666667,0.666666667,0.750811594,0.751091703,0.4825,,
Process25,0,0,0,1,3,3,0,7,0.897196262,0.897196262,0.867568903,0.915492958,0.565,,
Process25,0,0,0,1,3,3,1,8,0.635514019,0.635514019,0.738491681,0.723076923,0.6325,,
Process25,0,0,0,1,3,3,2,9,0.358490566,0.358490566,0.646333333,0.480487805,0.41,,
Process25,0,0,0,1,3,3,3,10,0.513761468,0.513761468,0.693583333,0.615560641,0.4225,,
Process25,0,0,0,2,0,0,0,2,0.6,0.6,0.674090566,0.68220339,0.52,,
Process25,0,0,0,2,0,0,1,3,0.653846154,0.653846154,0.688333333,0.734736842,0.36,,
Process25,0,0,0,2,0,0,2,4,0.574074074,0.574074074,0.659868998,0.665236052,0.4025,,
Process25,0,0,0,2,0,0,3,5,0.425925926,0.425925926,0.610579577,0.538461538,0.5225,,
Process25,0,0,0,2,0,1,0,3,0.862385321,0.862385321,0.795252525,0.877431907,0.66,,
Process25,0,0,0,2,0,1,1,4,0.513761468,0.513761468,0.641771562,0.612691466,0.48,,
Process25,0,0,0,2,0,1,2,5,0.392523364,0.392523364,0.601991342,0.51146789,0.5625,,
