model,addActSerial,addActParallel,deleteAct,replaceAct,addConst,removeConst,swapActivities,,GED,CNE,Jaccard,W-GED,LCS,
Process25,0,0,0,2,0,1,3,6,0.356435644,0.356435644,0.590651401,0.641148325,0.4725,
Process25,0,0,0,2,0,2,0,4,0.87037037,0.87037037,0.797431457,0.899159664,0.68,
Process25,0,0,0,2,0,2,1,5,0.58490566,0.58490566,0.663252331,0.756756757,0.495,
Process25,0,0,0,2,0,2,2,6,0.648148148,0.648148148,0.690115152,0.787610619,0.47,
Process25,0,0,0,2,0,2,3,7,0.264150943,0.264150943,0.570181818,0.570731707,0.37,
Process25,0,0,0,2,0,3,0,5,0.710280374,0.710280374,0.713441558,0.820960699,0.525,
Process25,0,0,0,2,0,3,1,6,0.785046729,0.785046729,0.751921745,0.858369099,0.53,
Process25,0,0,0,2,0,3,2,7,0.326923077,0.326923077,0.583390995,0.615384615,0.4275,
Process25,0,0,0,2,0,3,3,8,0.280373832,0.280373832,0.571098485,0.577669903,0.4925,
Process25,0,0,0,2,1,0,0,3,0.654545455,0.654545455,0.690933333,0.788546256,0.585,
Process25,0,0,0,2,1,0,1,4,0.654545455,0.654545455,0.691987179,0.788546256,0.4775,
Process25,0,0,0,2,1,0,2,5,0.36036036,0.36036036,0.593539274,0.616113744,0.4225,
Process25,0,0,0,2,1,0,3,6,0.425925926,0.425925926,0.612811855,0.663551402,0.49,
Process25,0,0,0,2,1,1,0,4,0.80733945,0.80733945,0.760600791,0.868085106,0.67,
Process25,0,0,0,2,1,1,1,5,0.592592593,0.592592593,0.665153846,0.757847534,0.5275,
Process25,0,0,0,2,1,1,2,6,0.745454545,0.745454545,0.732077922,0.836206897,0.5225,
Process25,0,0,0,2,1,1,3,7,0.233009709,0.233009709,0.56,0.561576355,0.395,
Process25,0,0,0,2,1,2,0,5,0.642201835,0.642201835,0.688333333,0.783185841,0.5425,
Process25,0,0,0,2,1,2,1,6,0.697247706,0.697247706,0.707275641,0.812227074,0.5125,
Process25,0,0,0,2,1,2,2,7,0.429906542,0.429906542,0.61143672,0.668224299,0.4125,
Process25,0,0,0,2,1,2,3,8,0.383838384,0.383838384,0.597715152,0.661904762,0.4025,
Process25,0,0,0,2,1,3,0,6,0.685185185,0.685185185,0.705662771,0.807017544,0.525,
Process25,0,0,0,2,1,3,1,7,0.485981308,0.485981308,0.629026464,0.700460829,0.5175,
Process25,0,0,0,2,1,3,2,8,0.376237624,0.376237624,0.597081818,0.652380952,0.4725,
Process25,0,0,0,2,1,3,3,9,0.291262136,0.291262136,0.576780719,0.597087379,0.38,
Process25,0,0,0,2,2,0,0,4,0.517857143,0.517857143,0.639881883,0.709090909,0.6575,
Process25,0,0,0,2,2,0,1,5,0.47706422,0.47706422,0.627632368,0.69124424,0.5025,
Process25,0,0,0,2,2,0,2,6,0.326923077,0.326923077,0.586885522,0.615384615,0.4,
Process25,0,0,0,2,2,0,3,7,0.444444444,0.444444444,0.613848485,0.694835681,0.4325,
Process25,0,0,0,2,2,1,0,5,0.660550459,0.660550459,0.696391534,0.792951542,0.59,
Process25,0,0,0,2,2,1,1,6,0.537037037,0.537037037,0.645848485,0.727272727,0.5775,
Process25,0,0,0,2,2,1,2,7,0.523364486,0.523364486,0.64048951,0.721461187,0.495,
Process25,0,0,0,2,2,1,3,8,0.403669725,0.403669725,0.604972554,0.647887324,0.475,
Process25,0,0,0,2,2,2,0,6,0.563636364,0.563636364,0.655848485,0.738738739,0.6,
Process25,0,0,0,2,2,2,1,7,0.654545455,0.654545455,0.691148148,0.788546256,0.505,
Process25,0,0,0,2,2,2,2,8,0.301886792,0.301886792,0.577866519,0.594202899,0.4825,
Process25,0,0,0,2,2,2,3,9,0.5,0.5,0.634193723,0.706422018,0.265,
Process25,0,0,0,2,2,3,0,7,0.605504587,0.605504587,0.670098485,0.763392857,0.5,
Process25,0,0,0,2,2,3,1,8,0.560747664,0.560747664,0.651588412,0.742081448,0.6225,
Process25,0,0,0,2,2,3,2,9,0.311926606,0.311926606,0.582536657,0.591346154,0.4275,
Process25,0,0,0,2,2,3,3,10,0.230769231,0.230769231,0.560369318,0.556650246,0.515,
Process25,0,0,0,2,3,0,0,5,0.637168142,0.637168142,0.681753247,0.775330396,0.2975,
Process25,0,0,0,2,3,0,1,6,0.504854369,0.504854369,0.632272727,0.718894009,0.505,
Process25,0,0,0,2,3,0,2,7,0.630630631,0.630630631,0.682503846,0.774336283,0.4925,
Process25,0,0,0,2,3,0,3,8,0.47706422,0.47706422,0.631015152,0.69124424,0.4075,
Process25,0,0,0,2,3,1,0,6,0.846846847,0.846846847,0.785353535,0.886554622,0.67,
Process25,0,0,0,2,3,1,1,7,0.433962264,0.433962264,0.6128644,0.672897196,0.375,
Process25,0,0,0,2,3,1,2,8,0.532110092,0.532110092,0.645015152,0.722727273,0.4725,
Process25,0,0,0,2,3,1,3,9,0.299065421,0.299065421,0.576351774,0.589371981,0.5675,
Process25,0,0,0,2,3,2,0,7,0.468468468,0.468468468,0.624386946,0.68202765,0.55,
Process25,0,0,0,2,3,2,1,8,0.442307692,0.442307692,0.615638185,0.682242991,0.41,
Process25,0,0,0,2,3,2,2,9,0.348623853,0.348623853,0.588948975,0.614285714,0.4925,
Process25,0,0,0,2,3,2,3,10,0.422018349,0.422018349,0.609103387,0.658878505,0.5175,
Process25,0,0,0,2,3,3,0,8,0.854545455,0.854545455,0.793658871,0.890756303,0.6575,
Process25,0,0,0,2,3,3,1,9,0.685185185,0.685185185,0.702781818,0.807017544,0.34,
Process25,0,0,0,2,3,3,2,10,0.358490566,0.358490566,0.592600172,0.628571429,0.5225,
Process25,0,0,0,2,3,3,3,11,0.27184466,0.27184466,0.569454655,0.585365854,0.3925,
Process25,0,0,0,3,0,0,0,3,0.594594595,0.594594595,0.620664428,0.743589744,0.62,
