model,addActSerial,addActParallel,deleteAct,replaceAct,addConst,removeConst,swapActivities,,GED,CNE,Jaccard,W-GED,LCS,,
Process113,0,0,0,3,0,2,2,7,0.715151515,0.715151515,0.6606,0.936863544,0.285,,
Process113,0,0,0,3,0,2,3,8,0.775757576,0.775757576,0.802022222,0.947315096,0.3525,,
Process113,0,0,0,3,0,3,0,6,0.841463415,0.841463415,0.742231078,0.958669355,0.3325,,
Process113,0,0,0,3,0,3,1,7,0.841463415,0.841463415,0.7673,0.958669355,0.35,,
Process113,0,0,0,3,0,3,2,8,0.719512195,0.719512195,0.663183838,0.937881874,0.295,,
Process113,0,0,0,3,0,3,3,9,0.743902439,0.743902439,0.730406061,0.942073171,0.3125,,
Process113,0,0,0,3,1,0,0,4,0.845238095,0.845238095,0.744963997,0.958752515,0.3625,,
Process113,0,0,0,3,1,0,1,5,0.869047619,0.869047619,0.861828986,0.962851406,0.3425,,
Process113,0,0,0,3,1,0,2,6,0.761904762,0.761904762,0.676854545,0.944275583,0.325,,
Process113,0,0,0,3,1,0,3,7,0.862275449,0.862275449,0.897527273,0.961809045,0.345,,
Process113,0,0,0,3,1,1,0,5,0.807228916,0.807228916,0.8129,0.952525253,0.3175,,
Process113,0,0,0,3,1,1,1,6,0.831325301,0.831325301,0.740911111,0.956653226,0.3425,,
Process113,0,0,0,3,1,1,2,7,0.730538922,0.730538922,0.6665,0.93902439,0.3525,,
Process113,0,0,0,3,1,1,3,8,0.686746988,0.686746988,0.654514286,0.931632653,0.305,,
Process113,0,0,0,3,1,2,0,6,0.879518072,0.879518072,0.870510526,0.964859438,0.365,,
Process113,0,0,0,3,1,2,1,7,0.86746988,0.86746988,0.902553623,0.96281407,0.3575,,
Process113,0,0,0,3,1,2,2,8,0.722891566,0.722891566,0.703779487,0.937945066,0.3325,,
Process113,0,0,0,3,1,2,3,9,0.678787879,0.678787879,0.6516,0.930541369,0.31,,
Process113,0,0,0,3,1,3,0,7,0.812121212,0.812121212,0.771012121,0.953535354,0.3275,,
Process113,0,0,0,3,1,3,1,8,0.817073171,0.817073171,0.813886957,0.954545455,0.33,,
Process113,0,0,0,3,1,3,2,9,0.812121212,0.812121212,0.786773684,0.953535354,0.335,,
Process113,0,0,0,3,1,3,3,10,0.715151515,0.715151515,0.733179487,0.936863544,0.3225,,
Process113,0,0,0,3,2,0,0,5,0.899408284,0.899408284,0.872677193,0.967967968,0.345,,
Process113,0,0,0,3,2,0,1,6,0.821428571,0.821428571,0.766828986,0.954637097,0.3325,,
Process113,0,0,0,3,2,0,2,7,0.797619048,0.797619048,0.726769697,0.950505051,0.365,,
Process113,0,0,0,3,2,0,3,8,0.785714286,0.785714286,0.723587879,0.94843276,0.3725,,
Process113,0,0,0,3,2,1,0,6,0.928571429,0.928571429,0.896675,0.973026973,0.3775,,
Process113,0,0,0,3,2,1,1,7,0.814371257,0.814371257,0.798133333,0.95358224,0.33,,
Process113,0,0,0,3,2,1,2,8,0.790419162,0.790419162,0.751104348,0.949443883,0.32,,
Process113,0,0,0,3,2,1,3,9,0.734939759,0.734939759,0.790633333,0.94004065,0.31,,
Process113,0,0,0,3,2,2,0,7,0.915662651,0.915662651,0.920677193,0.970970971,0.3425,,
Process113,0,0,0,3,2,2,1,8,0.790419162,0.790419162,0.780566667,0.949443883,0.285,,
Process113,0,0,0,3,2,2,2,9,0.819277108,0.819277108,0.762072727,0.954591322,0.33,,
Process113,0,0,0,3,2,2,3,10,0.722891566,0.722891566,0.662795169,0.937945066,0.2975,,
Process113,0,0,0,3,2,3,0,8,0.879518072,0.879518072,0.831046499,0.964859438,0.375,,
Process113,0,0,0,3,2,3,1,9,0.86746988,0.86746988,0.866754887,0.96281407,0.32,,
Process113,0,0,0,3,2,3,2,10,0.795180723,0.795180723,0.752532919,0.950455005,0.31,,
Process113,0,0,0,3,2,3,3,11,0.78313253,0.78313253,0.837620513,0.948380567,0.3025,,
Process113,0,0,0,3,3,0,0,6,0.852071006,0.852071006,0.733469173,0.959798995,0.3275,,
Process113,0,0,0,3,3,0,1,7,0.899408284,0.899408284,0.855472269,0.967967968,0.3625,,
Process113,0,0,0,3,3,0,2,8,0.738095238,0.738095238,0.698261538,0.940101523,0.34,,
Process113,0,0,0,3,3,0,3,9,0.8,0.8,0.8289,0.950554995,0.335,,
Process113,0,0,0,3,3,1,0,7,0.840236686,0.840236686,0.738784962,0.957746479,0.32,,
Process113,0,0,0,3,3,1,1,8,0.862275449,0.862275449,0.864369378,0.961809045,0.3425,,
Process113,0,0,0,3,3,1,2,9,0.797619048,0.797619048,0.768133333,0.950505051,0.285,,
Process113,0,0,0,3,3,1,3,10,0.75739645,0.75739645,0.70706087,0.943262411,0.335,,
Process113,0,0,0,3,3,2,0,8,0.78313253,0.78313253,0.681618182,0.948380567,0.29,,
Process113,0,0,0,3,3,2,1,9,0.814371257,0.814371257,0.735111594,0.95358224,0.3375,,
Process113,0,0,0,3,3,2,2,10,0.850299401,0.850299401,0.831642105,0.959758551,0.33,,
Process113,0,0,0,3,3,2,3,11,0.80952381,0.80952381,0.781390062,0.952573158,0.29,,
Process113,0,0,0,3,3,3,0,9,0.824242424,0.824242424,0.727466667,0.955600404,0.295,,
Process113,0,0,0,3,3,3,1,10,0.831325301,0.831325301,0.8853,0.956653226,0.2725,,
Process113,0,0,0,3,3,3,2,11,0.836363636,0.836363636,0.795228571,0.95766129,0.35,,
Process113,0,0,0,3,3,3,3,12,0.715151515,0.715151515,0.742855556,0.936863544,0.315,,
Process113,0,0,1,0,0,0,0,1,0.987654321,0.987654321,0.981078014,0.992738589,0.36,,
Process113,0,0,1,0,0,0,1,2,0.9375,0.9375,0.953672312,0.984358707,0.34,,
Process113,0,0,1,0,0,0,2,3,0.864197531,0.864197531,0.921282438,0.971698113,0.325,,
Process113,0,0,1,0,0,0,3,4,0.777777778,0.777777778,0.82560555,0.956705385,0.3075,,
Process113,0,0,1,0,0,1,0,2,0.98136646,0.98136646,0.978685857,0.991692627,0.3775,,
Process113,0,0,1,0,0,1,1,3,0.931677019,0.931677019,0.958888889,0.988636364,0.36,,
Process113,0,0,1,0,0,1,2,4,0.827160494,0.827160494,0.759078014,0.965299685,0.3225,,
Process113,0,0,1,0,0,1,3,5,0.805031447,0.805031447,0.781363636,0.967607106,0.3125,,
Process113,0,0,1,0,0,2,0,3,0.962025316,0.962025316,0.965823112,0.988541667,0.38,,
Process113,0,0,1,0,0,2,1,4,0.944099379,0.944099379,0.955156446,0.985416667,0.3575,,
Process113,0,0,1,0,0,2,2,5,0.864197531,0.864197531,0.865537757,0.977154725,0.3475,,
Process113,0,0,1,0,0,2,3,6,0.75,0.75,0.73463357,0.952330508,0.3025,,
Process113,0,0,1,0,0,3,0,4,0.955414013,0.955414013,0.9622937,0.987486966,0.3525,,
Process113,0,0,1,0,0,3,1,5,0.95,0.95,0.959286348,0.986458333,0.3325,,
Process113,0,0,1,0,0,3,2,6,0.886075949,0.886075949,0.864955207,0.975890985,0.3,,
Process113,0,0,1,0,0,3,3,7,0.820512821,0.820512821,0.840562863,0.965189873,0.335,,
Process113,0,0,1,0,1,0,0,2,0.981595092,0.981595092,0.938881936,0.991701245,0.3675,,
Process113,0,0,1,0,1,0,1,3,0.963414634,0.963414634,0.938113102,0.988577362,0.355,,
