sep=,
model,addActSerial,addActParallel,deleteAct,replaceAct,addConst,removeConst,swapActivities,GED,CNE,Jaccard,W-GED,LCS
Process25,0,0,0,1,1,3,3,0.29166666666666663,0.2916666666666667,0.629,0.6753180661577608,0.45499999999999996
Process25,0,0,0,1,2,0,0,0.8623853211009174,0.8623853211009175,0.8488735177865613,0.906097018246551,0.6724999999999999
Process25,0,0,0,1,2,0,1,0.4040404040404041,0.40404040404040403,0.654530303030303,0.7001491795126802,0.38250000000000006
Process25,0,0,0,1,2,0,2,0.38383838383838387,0.3838383838383838,0.6543636363636364,0.7183794466403162,0.355
Process25,0,0,0,1,2,0,3,0.5871559633027523,0.5871559633027523,0.7160952380952381,0.7764650283553876,0.45000000000000007
Process25,0,0,0,1,2,1,0,0.8807339449541285,0.8807339449541285,0.8555252525252526,0.918141592920354,0.7175
Process25,0,0,0,1,2,1,1,0.6355140186915889,0.6355140186915887,0.7343333333333333,0.8099906629318394,0.44000000000000006
Process25,0,0,0,1,2,1,2,0.7676767676767677,0.7676767676767676,0.7922991452991452,0.8919781221513218,0.38750000000000007
Process25,0,0,0,1,2,1,3,0.3076923076923077,0.3076923076923077,0.6352321428571428,0.6579345088161208,0.3025
Process25,0,0,0,1,2,2,0,0.7407407407407407,0.7407407407407407,0.7846152832674571,0.862870159453303,0.6774999999999999
Process25,0,0,0,1,2,2,1,0.6355140186915889,0.6355140186915887,0.7346666666666667,0.8155929038281979,0.6774999999999999
Process25,0,0,0,1,2,2,2,0.4528301886792453,0.4528301886792453,0.6743921568627451,0.7311618862421001,0.5125
Process25,0,0,0,1,2,2,3,0.28301886792452835,0.2830188679245283,0.6276284829721362,0.6120469627360898,0.48
Process25,0,0,0,1,2,3,0,0.822429906542056,0.822429906542056,0.8246923076923076,0.9118825100133512,0.5499999999999999
Process25,0,0,0,1,2,3,1,0.7222222222222222,0.7222222222222222,0.7713378939900679,0.8551188299817185,0.5049999999999999
Process25,0,0,0,1,2,3,2,0.42592592592592593,0.42592592592592593,0.6723176470588235,0.728065923412506,0.5
Process25,0,0,0,1,2,3,3,0.5714285714285714,0.5714285714285714,0.7174871794871794,0.7981042654028436,0.4675
Process25,0,0,0,1,3,0,0,0.8928571428571429,0.8928571428571429,0.8648559218559219,0.9308836395450568,0.6249999999999998
Process25,0,0,0,1,3,0,1,0.7321428571428572,0.7321428571428571,0.7769666666666667,0.8505224897773739,0.7099999999999999
Process25,0,0,0,1,3,0,2,0.4528301886792453,0.4528301886792453,0.6770882352941177,0.7400581959262851,0.5
Process25,0,0,0,1,3,0,3,0.4036697247706422,0.4036697247706422,0.6619824561403509,0.7033773861967694,0.5199999999999999
Process25,0,0,0,1,3,1,0,0.8623853211009174,0.8623853211009175,0.8430808080808081,0.9116733244562805,0.7199999999999999
