refSim, trueSim
0.9295154185022027,1.0,422
0.9317180616740088,1.0,426
0.9305402425578831,1.0,430
0.8819226750261233,1.0,435
0.9454545454545454,1.0,441
0.9454545454545454,1.0,446
0.9482288828337875,1.0,452
0.9472727272727273,1.0,458
0.9472727272727273,1.0,464
0.9464123524069028,1.0,470
0.9455535390199638,1.0,476
0.9454545454545454,1.0,482
0.9464123524069028,1.0,488
0.9482288828337875,1.0,494
0.9464123524069028,1.0,500
0.9444949954504095,1.0,506
0.9454545454545454,1.0,512
0.9453551912568307,1.0,518
0.9453551912568307,1.0,524
0.9454545454545454,1.0,531
0.9444949954504095,1.0,537
0.9444949954504095,1.0,543
0.9444949954504095,1.0,549
0.9463148316651502,1.0,555
0.9444949954504095,1.0,561
0.9454545454545454,1.0,567
0.9453551912568307,1.0,594
0.9453551912568307,1.0,605
0.9444949954504095,1.0,612
0.9444949954504095,1.0,620
0.9463148316651502,1.0,626
0.9437386569872959,1.0,632
0.9454545454545454,1.0,638
0.9427792915531336,1.0,644
0.9427792915531336,1.0,650
0.9444949954504095,1.0,656
0.9418181818181818,1.0,662
0.9435336976320583,1.0,668
0.9426751592356688,1.0,674
0.9418181818181818,1.0,680
0.9463148316651502,1.0,686
0.9489981785063752,1.0,692
0.8979238754325259,1.0,699
0.9984202211690363,1.0,706
0.9944664031620554,1.0,714
0.995260663507109,1.0,721
0.995260663507109,1.0,728
0.9944664031620554,1.0,735
0.9976284584980237,1.0,743
0.995253164556962,1.0,750
0.9944664031620554,1.0,757
0.9936808846761453,1.0,765
0.9944664031620554,1.0,772
0.9976284584980237,1.0,779
0.9936808846761453,1.0,786
0.9944664031620554,1.0,793
0.9960474308300395,1.0,801
0.9936808846761453,1.0,808
0.995253164556962,1.0,816
0.995260663507109,1.0,823
0.995260663507109,1.0,830
0.995253164556962,1.0,837
0.995253164556962,1.0,844
0.9960474308300395,1.0,852
0.995260663507109,1.0,859
0.994475138121547,1.0,866
0.9944664031620554,1.0,882
0.9936808846761453,1.0,889
0.995260663507109,1.0,897
0.9960474308300395,1.0,904
0.9960474308300395,1.0,912
0.9968404423380727,1.0,919
0.994475138121547,1.0,926
0.995260663507109,1.0,933
0.994475138121547,1.0,941
0.994475138121547,1.0,948
0.994475138121547,1.0,955
0.9936808846761453,1.0,962
0.994475138121547,1.0,969
0.9944664031620554,1.0,976
0.995260663507109,1.0,984
0.9960474308300395,1.0,991
0.9984202211690363,1.0,998
0.9976284584980237,1.0,1005
0.9487179487179487,1.0,1014
0.9502262443438914,1.0,1022
0.9509433962264151,1.0,1031
0.9495101733232856,1.0,1039
0.9524528301886792,1.0,1048
0.9502262443438914,1.0,1056
0.949433962264151,1.0,1064
0.9487179487179487,1.0,1073
0.9487179487179487,1.0,1081
0.951734539969834,1.0,1090
0.9510173323285607,1.0,1098
0.949433962264151,1.0,1107
0.9487179487179487,1.0,1115
0.9516616314199395,1.0,1123
0.9501510574018127,1.0,1132
0.9487179487179487,1.0,1140
0.9509433962264151,1.0,1148
0.9501510574018127,1.0,1157
0.949433962264151,1.0,1165
0.9501510574018127,1.0,1173
0.9509433962264151,1.0,1182
0.9509433962264151,1.0,1192
0.9495101733232856,1.0,1201
0.9495101733232856,1.0,1209
0.949433962264151,1.0,1227
0.9502262443438914,1.0,1236
0.9516616314199395,1.0,1245
0.9501510574018127,1.0,1253
0.9509433962264151,1.0,1262
0.9503012048192772,1.0,1270
0.9487179487179487,1.0,1279
0.9510173323285607,1.0,1287
0.9510173323285607,1.0,1296
0.9495101733232856,1.0,1304
0.9480030143180106,1.0,1313
0.9480030143180106,1.0,1321
0.9502262443438914,1.0,1330
0.9495101733232856,1.0,1339
0.9502262443438914,1.0,1347
0.9509433962264151,1.0,1356
0.9532428355957767,1.0,1364
0.951734539969834,1.0,1373
0.9069935111751983,1.0,1383
0.9071274298056156,1.0,1393
0.9077809798270894,1.0,1404
0.9056875449964003,1.0,1413
0.909221902017291,1.0,1423
0.9077809798270894,1.0,1433
0.9069935111751983,1.0,1444
0.9069935111751983,1.0,1454
0.9063400576368876,1.0,1464
0.909221902017291,1.0,1474
0.9077809798270894,1.0,1484
0.9062049062049062,1.0,1494
0.9047619047619048,1.0,1504
0.9075144508670521,1.0,1516
0.9054151624548736,1.0,1526
0.9054151624548736,1.0,1537
0.905551550108147,1.0,1547
0.9054151624548736,1.0,1557
0.9047619047619048,1.0,1567
0.9060693641618497,1.0,1578
0.9068592057761733,1.0,1588
0.9062049062049062,1.0,1598
0.905551550108147,1.0,1608
0.9048991354466859,1.0,1618
0.9054151624548736,1.0,1635
0.9054151624548736,1.0,1645
0.9062049062049062,1.0,1656
0.9076479076479076,1.0,1666
0.9068592057761733,1.0,1676
0.9063400576368876,1.0,1686
0.904109589041096,1.0,1696
0.9069935111751983,1.0,1706
0.9076479076479076,1.0,1717
0.9062049062049062,1.0,1727
0.904109589041096,1.0,1737
0.904109589041096,1.0,1748
0.9069935111751983,1.0,1758
0.9068592057761733,1.0,1767
0.9062049062049062,1.0,1778
0.9062049062049062,1.0,1788
0.9098774333093007,1.0,1798
0.9090909090909091,1.0,1808
0.903971119133574,1.0,1818
0.9047619047619048,1.0,1829
0.9054151624548736,1.0,1840
0.9033189033189033,1.0,1850
0.9075144508670521,1.0,1860
0.9054151624548736,1.0,1871
0.9052783803326103,1.0,1881
0.903971119133574,1.0,1890
0.903971119133574,1.0,1900
0.9068592057761733,1.0,1910
0.9062049062049062,1.0,1920
0.9046242774566474,1.0,1931
0.9046242774566474,1.0,1941
0.9067245119305857,1.0,1952
0.903971119133574,1.0,1962
0.903971119133574,1.0,1973
0.9047619047619048,1.0,1983
0.9046242774566474,1.0,1993
0.9046242774566474,1.0,2004
0.9052783803326103,1.0,2014
0.9060693641618497,1.0,2024
0.9054151624548736,1.0,2035
0.9047619047619048,1.0,2045
0.904109589041096,1.0,2056
0.9046242774566474,1.0,2072
0.9060693641618497,1.0,2083
0.9054151624548736,1.0,2093
0.9054151624548736,1.0,2103
0.9060693641618497,1.0,2113
0.9054151624548736,1.0,2124
0.9033189033189033,1.0,2134
0.9068592057761733,1.0,2144
0.9062049062049062,1.0,2154
0.9047619047619048,1.0,2164
0.9033189033189033,1.0,2174
0.903971119133574,1.0,2184
0.9054151624548736,1.0,2194
0.9047619047619048,1.0,2205
0.9054151624548736,1.0,2215
0.9075144508670521,1.0,2225
0.908303249097473,1.0,2235
0.9068592057761733,1.0,2245
0.9046242774566474,1.0,2254
0.8648275862068966,1.0,2268
0.9969381506429884,1.0,2281
0.996328029375765,1.0,2293
0.9975520195838433,1.0,2305
0.998165137614679,1.0,2317
0.9969381506429884,1.0,2330
0.996328029375765,1.0,2342
0.9969381506429884,1.0,2355
0.9944954128440366,1.0,2367
0.996328029375765,1.0,2380
0.9951040391676866,1.0,2392
0.9969381506429884,1.0,2405
0.996319018404908,1.0,2417
0.9950920245398773,1.0,2430
0.9957081545064378,1.0,2442
