refSim,Indices,Update,Score
0.936977056,,,0.67
0.936977056,,,0.67
0.937502403,,,0.67
0.936659983,,,0.67
0.93660339,,,0.67
0.93673443,,,0.67
0.937053057,,,0.67
0.93673443,,,0.67
0.935778548,,,0.67
0.937261813,,,0.67
0.93545992,,,0.67
0.93545992,,,0.67
0.935719832,,,0.67
0.936829072,,,0.67
0.936243508,,,0.67
0.936055356,,,0.67
0.936055356,,,0.67
0.934570085,,,0.67
0.935411791,,,0.67
0.935674487,,,0.67
0.933866442,,,0.67
0.934768227,,,0.67
0.934508418,,,0.67
0.934768227,,,0.67
0.935090009,,,0.67
0.934768227,,,0.67
0.933866442,,,0.67
0.93418743,,,0.67
0.934384164,,,0.67
0.933545455,,,0.67
0.9329691,,,0.67
0.933481098,,,0.67
0.932903479,,,0.67
0.931756757,,,0.67
0.932515752,,,0.67
0.932515752,,,0.67
0.931872187,,,0.67
0.931298541,,,0.67
0.931803519,,,0.67
0.930977553,,,0.67
0.931228623,,,0.67
0.931872187,,,0.67
0.931047918,,,0.67
0.930087326,,,0.67
0.930407524,,,0.67
0.930407524,,,0.67
0.930087326,,,0.67
0.828693186,,1.2,0.5896
0.795611579,,1.2,0.545925926
0.801276427,,1.2,0.508275862
0.967061404,,,0.491333333
0.930894302,,,0.475483871
0.922595574,,,0.475483871
0.922010535,,,0.475483871
0.890403159,,1.2,0.460625
0.995983414,,,0.460625
0.936772865,,,0.433529412
0.934003005,,,0.433529412
0.904393931,,,0.421142857
0.854988802,,1.2,0.398378378
0.954755896,,,0.387894737
0.951565829,,,0.387894737
0.903293982,,,0.3685
0.903187656,,,0.3685
0.9015779,,,0.3685
0.900151389,,,0.3685
0.878289283,,1.2,0.359512195
0.974700342,,,0.350952381
0.95151852,,,0.342790698
0.924531889,,,0.335
0.90390424,,,0.327555556
0.898413277,,1.2,0.327555556
0.997538824,,,0.327555556
0.995657393,,,0.327555556
0.993986542,,,0.327555556
0.993700752,,,0.327555556
0.971538891,,,0.320434783
0.971370696,,,0.320434783
0.971198334,,,0.320434783
0.969671,,,0.320434783
0.969534374,,,0.320434783
0.96939333,,,0.320434783
0.969294765,,,0.320434783
0.969097723,,,0.320434783
0.968730554,,,0.320434783
0.968926294,,,0.320434783
0.968559052,,,0.320434783
0.968460633,,,0.320434783
0.968651535,,,0.320434783
0.96830925,,,0.320434783
0.968103878,,,0.320434783
0.967966964,,,0.320434783
0.967888258,,,0.320434783
0.967556222,,,0.320434783
0.96755092,,,0.320434783
0.967213936,,,0.320434783
0.966945729,,,0.320434783
0.966934481,,,0.320434783
0.966797495,,,0.320434783
0.945916284,,,0.313617021
0.945899772,,,0.313617021
0.94584264,,,0.313617021
0.944379126,,,0.313617021
0.944182949,,,0.313617021
0.943986772,,,0.313617021
0.94392138,,,0.313617021
0.943725203,,,0.313617021
0.943463633,,,0.313617021
0.94345478,,,0.313617021
0.943193079,,,0.313617021
0.942753523,,,0.313617021
0.942735103,,,0.313617021
0.942669677,,,0.313617021
0.942782136,,,0.313617021
0.942585663,,,0.313617021
0.942323698,,,0.313617021
0.942136755,,,0.313617021
0.942183209,,,0.313617021
0.942042578,,,0.313617021
0.941901805,,,0.313617021
0.94176089,,,0.313617021
0.921874124,,,0.307083333
0.921736993,,,0.307083333
0.921725091,,,0.307083333
0.920485668,,,0.307083333
0.901801175,,,0.300816327
0.901621202,,,0.300816327
0.90154753,,,0.300816327
0.900355502,,,0.300816327
0.900198312,,,0.300816327
0.90024461,,,0.300816327
0.899851825,,1.2,0.300816327
0.999228105,,,0.300816327
0.999035131,,,0.300816327
0.998714144,,,0.300816327
0.998521997,,,0.300816327
0.998520534,,,0.300816327
0.998327561,,,0.300816327
0.997912856,,,0.300816327
0.997911838,,,0.300816327
0.997846463,,,0.300816327
0.997525891,,,0.300816327
0.997397242,,,0.300816327
0.997268593,,,0.300816327
0.997331612,,,0.300816327
0.997074186,,,0.300816327
0.99694697,,,0.300816327
0.996627001,,,0.300816327
0.996498415,,,0.300816327
0.996561022,,,0.300816327
0.996430621,,,0.300816327
0.996175075,,,0.300816327
0.996048366,,,0.300816327
0.996044483,,,0.300816327
0.99591577,,,0.300816327
0.995789127,,,0.300816327
0.995593988,,,0.300816327
0.995338855,,,0.300816327
0.995081556,,,0.300816327
0.994952907,,,0.300816327
0.994698218,,,0.300816327
0.994695609,,,0.300816327
0.994502635,,,0.300816327
0.994438311,,,0.300816327
0.994435572,,,0.300816327
0.994245337,,,0.300816327
0.994242503,,,0.300816327
0.993988038,,,0.300816327
0.993923714,,,0.300816327
0.973178476,,,0.2948
0.971773173,,,0.2948
0.973055777,,,0.2948
0.972994427,,,0.2948
0.973044359,,,0.2948
0.972860136,,,0.2948
0.972559042,,,0.2948
0.972553098,,,0.2948
0.971148339,,,0.2948
0.970964029,,,0.2948
0.970779719,,,0.2948
0.970485067,,,0.2948
0.970417397,,,0.2948
0.970294581,,,0.2948
0.970116795,,,0.2948
0.970165352,,,0.2948
0.970103916,,,0.2948
0.969864728,,,0.2948
0.969858169,,,0.2948
0.969790138,,,0.2948
0.969380251,,,0.2948
0.969544276,,,0.2948
0.969318872,,,0.2948
0.969148518,,,0.2948
