Correspondence, Time, Drift
0.875,5498,0,0
0.925,5551,0,0
0.8916666666666667,5609,0,0
0.9333333333333333,5669,0,0
0.8833333333333333,5726,0,0
0.925,5784,0,0
0.9083333333333333,5843,0,0
0.9083333333333333,5901,0,0
0.9166666666666666,5960,0,0
0.8,6017,0,0
0.8416666666666667,6077,0,0
0.85,6137,0,0
0.8666666666666667,6195,0,0
0.8916666666666667,6253,0,0
0.875,6312,0,0
0.9666666666666667,6368,0,0
0.8666666666666667,6427,0,0
0.8416666666666667,6485,0,0
0.8916666666666667,6542,0,0
0.8666666666666667,6599,0,0
0.9416666666666667,6660,0,0
0.9333333333333333,6718,0,0
0.8833333333333333,6775,0,0
0.9333333333333333,6833,0,0
0.925,6892,0,0
0.9166666666666666,6951,0,0
0.95,7017,1,0
0.9083333333333333,7073,0,0
0.8166666666666667,7131,0,0
0.9833333333333333,7189,0,0
0.9,7247,0,0
0.925,7304,0,0
0.8583333333333333,7361,0,0
0.8916666666666667,7420,0,0
0.8583333333333333,7478,0,0
0.85,7535,0,0
0.9333333333333333,7596,0,0
0.85,7653,0,0
0.775,7710,0,0
0.8416666666666667,7768,0,0
0.9083333333333333,7826,0,0
0.9083333333333333,7883,0,0
0.9416666666666667,7942,0,0
0.9083333333333333,7999,0,0
0.7916666666666666,8062,0,0
0.825,8127,0,0
0.9416666666666667,8191,0,0
0.8583333333333333,8257,0,0
0.9166666666666666,8321,0,0
0.8833333333333333,8385,0,0
0.8583333333333333,8450,0,0
0.825,8515,0,0
0.85,8577,0,0
0.925,8641,0,0
0.875,8706,0,0
0.925,8773,0,0
0.8583333333333333,8835,0,0
0.8583333333333333,8898,0,0
0.95,8962,0,0
0.8166666666666667,9029,0,0
0.9083333333333333,9097,0,0
0.9333333333333333,9160,0,0
0.825,9227,0,0
0.8333333333333334,9292,0,0
0.8916666666666667,9357,0,0
0.9166666666666666,9422,0,0
0.9083333333333333,9484,0,0
0.8833333333333333,9548,0,0
0.825,9619,1,0
0.875,9684,0,0
0.7916666666666666,9748,0,0
0.9,9814,0,0
0.9333333333333333,9878,0,0
0.875,9942,0,0
0.9333333333333333,10009,0,0
0.875,10074,0,0
0.9583333333333334,10138,0,0
0.9,10202,0,0
0.9,10267,0,0
0.925,10330,0,0
0.825,10396,0,0
0.8916666666666667,10460,0,0
0.9166666666666666,10524,0,0
0.9,10588,0,0
0.7916666666666666,10652,0,0
0.8833333333333333,10718,0,0
0.8583333333333333,10783,0,0
0.8666666666666667,10847,0,0
0.8666666666666667,10911,0,0
0.825,10974,0,0
0.8833333333333333,11038,0,0
0.925,11103,0,0
0.9583333333333334,11171,0,0
0.8166666666666667,11235,0,0
0.85,11297,0,0
0.8833333333333333,11363,0,0
0.875,11428,0,0
0.825,11492,0,0
0.8833333333333333,11557,0,0
0.9083333333333333,11621,0,0
0.9416666666666667,11684,0,0
0.8416666666666667,11747,0,0
0.8,11811,0,0
0.8416666666666667,11874,0,0
0.95,11941,0,0
0.9,12007,0,0
0.8416666666666667,12070,0,0
0.925,12135,0,0
0.85,12197,0,0
0.85,12262,0,0
0.7833333333333333,12333,1,0
0.9,12397,0,0
0.9083333333333333,12462,0,0
0.8333333333333334,12527,0,0
0.8916666666666667,12592,0,0
0.9166666666666666,12658,0,0
0.925,12726,0,0
0.8583333333333333,12790,0,0
0.925,12855,0,0
0.7916666666666666,12917,0,0
0.75,12981,0,0
0.875,13044,0,0
0.8416666666666667,13110,0,0
0.8333333333333334,13172,0,0
0.85,13237,0,0
0.8,13297,0,0
0.7916666666666666,13362,0,0
0.8583333333333333,13427,0,0
0.875,13494,0,0
0.8666666666666667,13557,0,0
0.9,13623,0,0
0.95,13690,0,0
0.9416666666666667,13756,0,0
0.9083333333333333,13819,0,0
0.9416666666666667,13884,0,0
0.8666666666666667,13949,0,0
0.9416666666666667,14015,0,0
0.8166666666666667,14080,0,0
0.8583333333333333,14144,0,0
0.8666666666666667,14206,0,0
0.8916666666666667,14272,0,0
0.85,14336,0,0
0.8416666666666667,14397,0,0
0.9166666666666666,14463,0,0
0.9,14526,0,0
0.9083333333333333,14589,0,0
0.8833333333333333,14654,0,0
0.8,14718,0,0
0.8083333333333333,14781,0,0
0.8583333333333333,14845,0,0
0.8333333333333334,14909,0,0
0.875,14972,0,0
0.8833333333333333,15041,1,0
0.8583333333333333,15106,0,0
0.9,15169,0,0
0.8583333333333333,15234,0,0
0.925,15298,0,0
0.8833333333333333,15362,0,0
0.825,15424,0,0
0.925,15489,0,0
0.8583333333333333,15549,0,0
0.8416666666666667,15611,0,0
0.9333333333333333,15676,0,0
0.925,15741,0,0
0.8583333333333333,15805,0,0
0.7,15867,0,1
0.9264069264069265,15955,0,0
0.8744588744588745,16040,0,0
0.9523809523809523,16127,0,0
0.9567099567099567,16216,0,0
0.935064935064935,16305,0,0
0.9047619047619048,16399,0,0
0.935064935064935,16494,0,0
0.8701298701298701,16591,0,0
0.8744588744588745,16685,0,0
0.8874458874458875,16779,0,0
0.8701298701298701,16870,0,0
0.8787878787878788,16965,0,0
0.948051948051948,17061,0,0
0.935064935064935,17157,0,0
0.8917748917748918,17252,0,0
0.8831168831168831,17344,0,0
0.8744588744588745,17438,0,0
0.922077922077922,17533,0,0
0.9004329004329005,17628,0,0
0.9567099567099567,17724,0,0
0.9307359307359307,17820,0,0
0.9090909090909091,17915,0,0
0.8571428571428571,18008,0,0
0.8095238095238095,18101,0,0
0.9437229437229437,18197,0,0
0.9090909090909091,18293,0,0
0.9134199134199135,18407,0,0
0.922077922077922,18503,0,0
0.8874458874458875,18604,1,0
0.8701298701298701,18695,0,0
0.9134199134199135,18792,0,0
0.8571428571428571,18885,0,0
0.9437229437229437,18981,0,0
0.9393939393939394,19106,0,0
0.8917748917748918,19200,0,0
0.9307359307359307,19296,0,0
0.8917748917748918,19389,0,0
0.9307359307359307,19486,0,0
0.8571428571428571,19584,0,0
0.9567099567099567,19704,0,0
0.8701298701298701,19799,0,0
0.8874458874458875,19890,0,0
0.922077922077922,19988,0,0
0.8744588744588745,20082,0,0
0.7965367965367965,20176,0,0
0.9090909090909091,20271,0,0
0.8441558441558441,20365,0,0
0.9393939393939394,20461,0,0
0.9437229437229437,20559,0,0
0.7619047619047619,20650,0,0
0.948051948051948,20747,0,0
0.9004329004329005,20840,0,0
0.9177489177489178,20935,0,0
0.9567099567099567,21033,0,0
0.9307359307359307,21127,0,0
0.9523809523809523,21222,0,0
